variant_id,horizon,status,Score,MAE,RMSE,R2,metrics_source
D0,3,not_started,,,,,
D0,6,not_started,,,,,
D0,10,not_started,,,,,
D1,3,not_started,,,,,
D1,6,not_started,,,,,
D1,10,not_started,,,,,
D2,3,not_started,,,,,
D2,6,not_started,,,,,
D2,10,not_started,,,,,
D3,3,not_started,,,,,
D3,6,not_started,,,,,
D3,10,not_started,,,,,
D4,3,reference-only,7.783623200734026,76.33942955875908,117.75677038705155,0.9204713645191344,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h3.json
D4,6,reference-only,9.684446283949155,90.46171513146376,138.8132223588933,0.8894869334438604,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h6.json
D4,10,reference-only,11.706390557819958,105.41287395398908,159.3411440391301,0.8543832008369954,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h10.json
D5,3,not_started,,,,,
D5,6,not_started,,,,,
D5,10,not_started,,,,,
