variant_id,horizon,scenario,status,Score,MAE,RMSE,R2
D0,3,spatial_consistent,not_available_until_formal_predictions,,,,
D0,3,localized_disturbance,not_available_until_formal_predictions,,,,
D0,3,high_volatility,not_available_until_formal_predictions,,,,
D0,6,spatial_consistent,not_available_until_formal_predictions,,,,
D0,6,localized_disturbance,not_available_until_formal_predictions,,,,
D0,6,high_volatility,not_available_until_formal_predictions,,,,
D0,10,spatial_consistent,not_available_until_formal_predictions,,,,
D0,10,localized_disturbance,not_available_until_formal_predictions,,,,
D0,10,high_volatility,not_available_until_formal_predictions,,,,
D1,3,spatial_consistent,not_available_until_formal_predictions,,,,
D1,3,localized_disturbance,not_available_until_formal_predictions,,,,
D1,3,high_volatility,not_available_until_formal_predictions,,,,
D1,6,spatial_consistent,not_available_until_formal_predictions,,,,
D1,6,localized_disturbance,not_available_until_formal_predictions,,,,
D1,6,high_volatility,not_available_until_formal_predictions,,,,
D1,10,spatial_consistent,not_available_until_formal_predictions,,,,
D1,10,localized_disturbance,not_available_until_formal_predictions,,,,
D1,10,high_volatility,not_available_until_formal_predictions,,,,
D2,3,spatial_consistent,not_available_until_formal_predictions,,,,
D2,3,localized_disturbance,not_available_until_formal_predictions,,,,
D2,3,high_volatility,not_available_until_formal_predictions,,,,
D2,6,spatial_consistent,not_available_until_formal_predictions,,,,
D2,6,localized_disturbance,not_available_until_formal_predictions,,,,
D2,6,high_volatility,not_available_until_formal_predictions,,,,
D2,10,spatial_consistent,not_available_until_formal_predictions,,,,
D2,10,localized_disturbance,not_available_until_formal_predictions,,,,
D2,10,high_volatility,not_available_until_formal_predictions,,,,
D3,3,spatial_consistent,not_available_until_formal_predictions,,,,
D3,3,localized_disturbance,not_available_until_formal_predictions,,,,
D3,3,high_volatility,not_available_until_formal_predictions,,,,
D3,6,spatial_consistent,not_available_until_formal_predictions,,,,
D3,6,localized_disturbance,not_available_until_formal_predictions,,,,
D3,6,high_volatility,not_available_until_formal_predictions,,,,
D3,10,spatial_consistent,not_available_until_formal_predictions,,,,
D3,10,localized_disturbance,not_available_until_formal_predictions,,,,
D3,10,high_volatility,not_available_until_formal_predictions,,,,
D4,3,spatial_consistent,not_available_until_formal_predictions,,,,
D4,3,localized_disturbance,not_available_until_formal_predictions,,,,
D4,3,high_volatility,not_available_until_formal_predictions,,,,
D4,6,spatial_consistent,not_available_until_formal_predictions,,,,
D4,6,localized_disturbance,not_available_until_formal_predictions,,,,
D4,6,high_volatility,not_available_until_formal_predictions,,,,
D4,10,spatial_consistent,not_available_until_formal_predictions,,,,
D4,10,localized_disturbance,not_available_until_formal_predictions,,,,
D4,10,high_volatility,not_available_until_formal_predictions,,,,
D5,3,spatial_consistent,not_available_until_formal_predictions,,,,
D5,3,localized_disturbance,not_available_until_formal_predictions,,,,
D5,3,high_volatility,not_available_until_formal_predictions,,,,
D5,6,spatial_consistent,not_available_until_formal_predictions,,,,
D5,6,localized_disturbance,not_available_until_formal_predictions,,,,
D5,6,high_volatility,not_available_until_formal_predictions,,,,
D5,10,spatial_consistent,not_available_until_formal_predictions,,,,
D5,10,localized_disturbance,not_available_until_formal_predictions,,,,
D5,10,high_volatility,not_available_until_formal_predictions,,,,
