variant_id,group,horizon,status,Score,MAE,RMSE,R2
G0,High-spatial-dependence,3,not_available_until_formal_predictions,,,,
G0,Low-spatial-dependence,3,not_available_until_formal_predictions,,,,
G0,High-volatility,3,not_available_until_formal_predictions,,,,
G0,Ramp,3,not_available_until_formal_predictions,,,,
G0,Localized-disturbance,3,not_available_until_formal_predictions,,,,
G0,High-spatial-dependence,6,not_available_until_formal_predictions,,,,
G0,Low-spatial-dependence,6,not_available_until_formal_predictions,,,,
G0,High-volatility,6,not_available_until_formal_predictions,,,,
G0,Ramp,6,not_available_until_formal_predictions,,,,
G0,Localized-disturbance,6,not_available_until_formal_predictions,,,,
G0,High-spatial-dependence,10,not_available_until_formal_predictions,,,,
G0,Low-spatial-dependence,10,not_available_until_formal_predictions,,,,
G0,High-volatility,10,not_available_until_formal_predictions,,,,
G0,Ramp,10,not_available_until_formal_predictions,,,,
G0,Localized-disturbance,10,not_available_until_formal_predictions,,,,
G1,High-spatial-dependence,3,not_available_until_formal_predictions,,,,
G1,Low-spatial-dependence,3,not_available_until_formal_predictions,,,,
G1,High-volatility,3,not_available_until_formal_predictions,,,,
G1,Ramp,3,not_available_until_formal_predictions,,,,
G1,Localized-disturbance,3,not_available_until_formal_predictions,,,,
G1,High-spatial-dependence,6,not_available_until_formal_predictions,,,,
G1,Low-spatial-dependence,6,not_available_until_formal_predictions,,,,
G1,High-volatility,6,not_available_until_formal_predictions,,,,
G1,Ramp,6,not_available_until_formal_predictions,,,,
G1,Localized-disturbance,6,not_available_until_formal_predictions,,,,
G1,High-spatial-dependence,10,not_available_until_formal_predictions,,,,
G1,Low-spatial-dependence,10,not_available_until_formal_predictions,,,,
G1,High-volatility,10,not_available_until_formal_predictions,,,,
G1,Ramp,10,not_available_until_formal_predictions,,,,
G1,Localized-disturbance,10,not_available_until_formal_predictions,,,,
G2,High-spatial-dependence,3,not_available_until_formal_predictions,,,,
G2,Low-spatial-dependence,3,not_available_until_formal_predictions,,,,
G2,High-volatility,3,not_available_until_formal_predictions,,,,
G2,Ramp,3,not_available_until_formal_predictions,,,,
G2,Localized-disturbance,3,not_available_until_formal_predictions,,,,
G2,High-spatial-dependence,6,not_available_until_formal_predictions,,,,
G2,Low-spatial-dependence,6,not_available_until_formal_predictions,,,,
G2,High-volatility,6,not_available_until_formal_predictions,,,,
G2,Ramp,6,not_available_until_formal_predictions,,,,
G2,Localized-disturbance,6,not_available_until_formal_predictions,,,,
G2,High-spatial-dependence,10,not_available_until_formal_predictions,,,,
G2,Low-spatial-dependence,10,not_available_until_formal_predictions,,,,
G2,High-volatility,10,not_available_until_formal_predictions,,,,
G2,Ramp,10,not_available_until_formal_predictions,,,,
G2,Localized-disturbance,10,not_available_until_formal_predictions,,,,
