variant_id,horizon,group,status,reason,Score,MAE,RMSE,R2
L0,3,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L0,6,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L0,10,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L1,3,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L1,6,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L1,10,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L2,3,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L2,6,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L2,10,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L3,3,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L3,6,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L3,10,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L4,3,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L4,6,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L4,10,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L5,3,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L5,6,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L5,10,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L6,3,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L6,6,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L6,10,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L7,3,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L7,6,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
L7,10,top10_percent_difficult_turbines,not_started,requires_formal_predictions_and_train_validation_frozen_difficulty_rule,,,,
