variant_id,epoch,source,horizon,raw_loss,ema_loss,initial_loss,difficulty_level,relative_rate,dwa_epoch_loss,dwa_loss_ratio,weight_preclip,weight,weighted_contribution
L0,1,smoke_only,3,0.2738070108673789,1.0,1.0,1.0,1.0,,,1.0,1.0,0.2738070108673789
L0,1,smoke_only,6,0.26830028607086703,1.0,1.0,1.0,1.0,,,1.0,1.0,0.26830028607086703
L0,1,smoke_only,10,0.2727673412723975,1.0,1.0,1.0,1.0,,,1.0,1.0,0.2727673412723975
L1,1,smoke_only,3,0.2705712900920348,0.5531437505375255,0.34936729073524475,1.0054709179834886,1.1095419146797874,,,1.1153286207805981,1.1153286370364102,0.30004438234054914
L1,1,smoke_only,6,0.2673696587708863,0.5490447811105035,0.3867286443710327,0.9963319111954082,0.9932523017579858,,,0.9892250218174674,0.9892250191081654,0.26463881226728536
L1,1,smoke_only,10,0.27387463030490006,0.5499417673457753,0.42893561720848083,0.9981971681118011,0.8972057754343207,,,0.8954463655298407,0.8954463628205386,0.24792991390282995
L2,1,smoke_only,3,0.2736302456733855,1.0,1.0,1.0,1.0,,,1.0,1.0,0.2736302456733855
L2,1,smoke_only,6,0.2682189257307486,1.0,1.0,1.0,1.0,,,1.0,1.0,0.2682189257307486
L2,1,smoke_only,10,0.272762540389191,1.0,1.0,1.0,1.0,,,1.0,1.0,0.272762540389191
L4,1,smoke_only,3,0.27083580128171225,1.0,1.0,1.0,1.0,,,1.0,0.5,0.13541790064085613
L4,1,smoke_only,6,0.2667468992823904,1.0,1.0,1.0,1.0,,,2.0,1.0,0.2667468992823904
L4,1,smoke_only,10,0.2724566395309838,1.0,1.0,1.0,1.0,,,3.0,1.5,0.40868495929647575
L5,1,smoke_only,3,0.2705071179026907,1.0,1.0,1.0,1.0,,,1.0103118202903054,1.0103118202903054,0.27299654937883094
L5,1,smoke_only,6,0.2671024687588215,1.0,1.0,1.0,1.0,,,1.0103651881217957,1.0103651881217957,0.2695954997721907
L5,1,smoke_only,10,0.2734403759241104,1.0,1.0,1.0,1.0,,,1.0103909427469426,1.0103909427469426,0.276054682338397
L6,1,smoke_only,3,0.2705764196474444,1.0,1.0,1.0,1.0,0.2705764174461365,1.0,1.0,1.0,0.2705764196474444
L6,1,smoke_only,6,0.26717178151011467,1.0,1.0,1.0,1.0,0.26717182993888855,1.0,1.0,1.0,0.26717178151011467
L6,1,smoke_only,10,0.2735085345127366,1.0,1.0,1.0,1.0,0.2735085189342499,1.0,1.0,1.0,0.2735085345127366
