variant_id,source,node_index,site_weight,ema_node_loss
L0,smoke_only,0,1.0,1.0
L0,smoke_only,1,1.0,1.0
L0,smoke_only,2,1.0,1.0
L0,smoke_only,3,1.0,1.0
L0,smoke_only,4,1.0,1.0
L0,smoke_only,5,1.0,1.0
L0,smoke_only,6,1.0,1.0
L0,smoke_only,7,1.0,1.0
L1,smoke_only,0,1.0,1.0
L1,smoke_only,1,1.0,1.0
L1,smoke_only,2,1.0,1.0
L1,smoke_only,3,1.0,1.0
L1,smoke_only,4,1.0,1.0
L1,smoke_only,5,1.0,1.0
L1,smoke_only,6,1.0,1.0
L1,smoke_only,7,1.0,1.0
L2,smoke_only,0,1.531298041343689,0.49394115805625916
L2,smoke_only,1,1.0691009759902954,0.34485316276550293
L2,smoke_only,2,1.065883755683899,0.343815416097641
L2,smoke_only,3,0.8287804126739502,0.2673344910144806
L2,smoke_only,4,0.7662858366966248,0.24717600643634796
L2,smoke_only,5,0.9534242153167725,0.30754005908966064
L2,smoke_only,6,0.9038892388343811,0.29156187176704407
L2,smoke_only,7,0.8813369870185852,0.28428733348846436
L4,smoke_only,0,1.0,1.0
L4,smoke_only,1,1.0,1.0
L4,smoke_only,2,1.0,1.0
L4,smoke_only,3,1.0,1.0
L4,smoke_only,4,1.0,1.0
L4,smoke_only,5,1.0,1.0
L4,smoke_only,6,1.0,1.0
L4,smoke_only,7,1.0,1.0
L5,smoke_only,0,1.0,1.0
L5,smoke_only,1,1.0,1.0
L5,smoke_only,2,1.0,1.0
L5,smoke_only,3,1.0,1.0
L5,smoke_only,4,1.0,1.0
L5,smoke_only,5,1.0,1.0
L5,smoke_only,6,1.0,1.0
L5,smoke_only,7,1.0,1.0
L6,smoke_only,0,1.0,1.0
L6,smoke_only,1,1.0,1.0
L6,smoke_only,2,1.0,1.0
L6,smoke_only,3,1.0,1.0
L6,smoke_only,4,1.0,1.0
L6,smoke_only,5,1.0,1.0
L6,smoke_only,6,1.0,1.0
L6,smoke_only,7,1.0,1.0
