variant_id,horizon,run_status,comparison_scope,Score,MAE,RMSE,R2,metrics_source
L0,3,not_started,STMG_FORMAL_V2,,,,,
L0,6,not_started,STMG_FORMAL_V2,,,,,
L0,10,not_started,STMG_FORMAL_V2,,,,,
L1,3,not_started,STMG_FORMAL_V2,,,,,
L1,6,not_started,STMG_FORMAL_V2,,,,,
L1,10,not_started,STMG_FORMAL_V2,,,,,
L2,3,not_started,STMG_FORMAL_V2,,,,,
L2,6,not_started,STMG_FORMAL_V2,,,,,
L2,10,not_started,STMG_FORMAL_V2,,,,,
L3,3,reference-only,STMG_FORMAL_V2,7.783623200734026,76.33942955875908,117.75677038705155,0.9204713645191344,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h3.json
L3,6,reference-only,STMG_FORMAL_V2,9.684446283949155,90.46171513146376,138.8132223588933,0.8894869334438604,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h6.json
L3,10,reference-only,STMG_FORMAL_V2,11.706390557819958,105.41287395398908,159.3411440391301,0.8543832008369954,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h10.json
L4,3,not_started,STMG_FORMAL_V2,,,,,
L4,6,not_started,STMG_FORMAL_V2,,,,,
L4,10,not_started,STMG_FORMAL_V2,,,,,
L5,3,not_started,STMG_FORMAL_V2,,,,,
L5,6,not_started,STMG_FORMAL_V2,,,,,
L5,10,not_started,STMG_FORMAL_V2,,,,,
L6,3,not_started,STMG_FORMAL_V2,,,,,
L6,6,not_started,STMG_FORMAL_V2,,,,,
L6,10,not_started,STMG_FORMAL_V2,,,,,
L7,3,reference-unavailable,STMG_A8_BATCH4_V1_independent,,,,,
L7,6,reference-unavailable,STMG_A8_BATCH4_V1_independent,,,,,
L7,10,reference-unavailable,STMG_A8_BATCH4_V1_independent,,,,,
