variant_id,group,horizon,run_status,Score,MAE,RMSE,R2,valid_target_count
T0,Normal,3,not_available_until_formal_predictions,,,,,
T0,High-volatility,3,not_available_until_formal_predictions,,,,,
T0,Ramp-up,3,not_available_until_formal_predictions,,,,,
T0,Ramp-down,3,not_available_until_formal_predictions,,,,,
T0,Shared difficult Top10%,3,not_available_until_formal_predictions,,,,,
T0,Normal,6,not_available_until_formal_predictions,,,,,
T0,High-volatility,6,not_available_until_formal_predictions,,,,,
T0,Ramp-up,6,not_available_until_formal_predictions,,,,,
T0,Ramp-down,6,not_available_until_formal_predictions,,,,,
T0,Shared difficult Top10%,6,not_available_until_formal_predictions,,,,,
T0,Normal,10,not_available_until_formal_predictions,,,,,
T0,High-volatility,10,not_available_until_formal_predictions,,,,,
T0,Ramp-up,10,not_available_until_formal_predictions,,,,,
T0,Ramp-down,10,not_available_until_formal_predictions,,,,,
T0,Shared difficult Top10%,10,not_available_until_formal_predictions,,,,,
T1,Normal,3,not_available_until_formal_predictions,,,,,
T1,High-volatility,3,not_available_until_formal_predictions,,,,,
T1,Ramp-up,3,not_available_until_formal_predictions,,,,,
T1,Ramp-down,3,not_available_until_formal_predictions,,,,,
T1,Shared difficult Top10%,3,not_available_until_formal_predictions,,,,,
T1,Normal,6,not_available_until_formal_predictions,,,,,
T1,High-volatility,6,not_available_until_formal_predictions,,,,,
T1,Ramp-up,6,not_available_until_formal_predictions,,,,,
T1,Ramp-down,6,not_available_until_formal_predictions,,,,,
T1,Shared difficult Top10%,6,not_available_until_formal_predictions,,,,,
T1,Normal,10,not_available_until_formal_predictions,,,,,
T1,High-volatility,10,not_available_until_formal_predictions,,,,,
T1,Ramp-up,10,not_available_until_formal_predictions,,,,,
T1,Ramp-down,10,not_available_until_formal_predictions,,,,,
T1,Shared difficult Top10%,10,not_available_until_formal_predictions,,,,,
T2,Normal,3,not_available_until_formal_predictions,,,,,
T2,High-volatility,3,not_available_until_formal_predictions,,,,,
T2,Ramp-up,3,not_available_until_formal_predictions,,,,,
T2,Ramp-down,3,not_available_until_formal_predictions,,,,,
T2,Shared difficult Top10%,3,not_available_until_formal_predictions,,,,,
T2,Normal,6,not_available_until_formal_predictions,,,,,
T2,High-volatility,6,not_available_until_formal_predictions,,,,,
T2,Ramp-up,6,not_available_until_formal_predictions,,,,,
T2,Ramp-down,6,not_available_until_formal_predictions,,,,,
T2,Shared difficult Top10%,6,not_available_until_formal_predictions,,,,,
T2,Normal,10,not_available_until_formal_predictions,,,,,
T2,High-volatility,10,not_available_until_formal_predictions,,,,,
T2,Ramp-up,10,not_available_until_formal_predictions,,,,,
T2,Ramp-down,10,not_available_until_formal_predictions,,,,,
T2,Shared difficult Top10%,10,not_available_until_formal_predictions,,,,,
T3,Normal,3,not_available_until_formal_predictions,,,,,
T3,High-volatility,3,not_available_until_formal_predictions,,,,,
T3,Ramp-up,3,not_available_until_formal_predictions,,,,,
T3,Ramp-down,3,not_available_until_formal_predictions,,,,,
T3,Shared difficult Top10%,3,not_available_until_formal_predictions,,,,,
T3,Normal,6,not_available_until_formal_predictions,,,,,
T3,High-volatility,6,not_available_until_formal_predictions,,,,,
T3,Ramp-up,6,not_available_until_formal_predictions,,,,,
T3,Ramp-down,6,not_available_until_formal_predictions,,,,,
T3,Shared difficult Top10%,6,not_available_until_formal_predictions,,,,,
T3,Normal,10,not_available_until_formal_predictions,,,,,
T3,High-volatility,10,not_available_until_formal_predictions,,,,,
T3,Ramp-up,10,not_available_until_formal_predictions,,,,,
T3,Ramp-down,10,not_available_until_formal_predictions,,,,,
T3,Shared difficult Top10%,10,not_available_until_formal_predictions,,,,,
T4,Normal,3,not_available_until_formal_predictions,,,,,
T4,High-volatility,3,not_available_until_formal_predictions,,,,,
T4,Ramp-up,3,not_available_until_formal_predictions,,,,,
T4,Ramp-down,3,not_available_until_formal_predictions,,,,,
T4,Shared difficult Top10%,3,not_available_until_formal_predictions,,,,,
T4,Normal,6,not_available_until_formal_predictions,,,,,
T4,High-volatility,6,not_available_until_formal_predictions,,,,,
T4,Ramp-up,6,not_available_until_formal_predictions,,,,,
T4,Ramp-down,6,not_available_until_formal_predictions,,,,,
T4,Shared difficult Top10%,6,not_available_until_formal_predictions,,,,,
T4,Normal,10,not_available_until_formal_predictions,,,,,
T4,High-volatility,10,not_available_until_formal_predictions,,,,,
T4,Ramp-up,10,not_available_until_formal_predictions,,,,,
T4,Ramp-down,10,not_available_until_formal_predictions,,,,,
T4,Shared difficult Top10%,10,not_available_until_formal_predictions,,,,,
T5,Normal,3,not_available_until_formal_predictions,,,,,
T5,High-volatility,3,not_available_until_formal_predictions,,,,,
T5,Ramp-up,3,not_available_until_formal_predictions,,,,,
T5,Ramp-down,3,not_available_until_formal_predictions,,,,,
T5,Shared difficult Top10%,3,not_available_until_formal_predictions,,,,,
T5,Normal,6,not_available_until_formal_predictions,,,,,
T5,High-volatility,6,not_available_until_formal_predictions,,,,,
T5,Ramp-up,6,not_available_until_formal_predictions,,,,,
T5,Ramp-down,6,not_available_until_formal_predictions,,,,,
T5,Shared difficult Top10%,6,not_available_until_formal_predictions,,,,,
T5,Normal,10,not_available_until_formal_predictions,,,,,
T5,High-volatility,10,not_available_until_formal_predictions,,,,,
T5,Ramp-up,10,not_available_until_formal_predictions,,,,,
T5,Ramp-down,10,not_available_until_formal_predictions,,,,,
T5,Shared difficult Top10%,10,not_available_until_formal_predictions,,,,,
