variant_id,horizon,run_status,Score,MAE,RMSE,R2,valid_target_count,parameter_count,parameter_delta_vs_t0,metrics_source
T0,3,reference-only,7.783623200734026,76.33942955875908,117.75677038705155,0.9204713645191344,1256027,278534,0,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h3.json
T0,6,reference-only,9.684446283949155,90.46171513146376,138.8132223588933,0.8894869334438604,2512061,278534,0,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h6.json
T0,10,reference-only,11.706390557819958,105.41287395398908,159.3411440391301,0.8543832008369954,4186848,278534,0,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h10.json
T1,3,not_started,,,,,,195141,-83393,
T1,6,not_started,,,,,,195141,-83393,
T1,10,not_started,,,,,,195141,-83393,
T2,3,not_started,,,,,,211974,-66560,
T2,6,not_started,,,,,,211974,-66560,
T2,10,not_started,,,,,,211974,-66560,
T3,3,not_started,,,,,,204166,-74368,
T3,6,not_started,,,,,,204166,-74368,
T3,10,not_started,,,,,,204166,-74368,
T4,3,not_started,,,,,,278534,0,
T4,6,not_started,,,,,,278534,0,
T4,10,not_started,,,,,,278534,0,
T5,3,not_started,,,,,,278709,175,
T5,6,not_started,,,,,,278709,175,
T5,10,not_started,,,,,,278709,175,
