sample,node,scale_window,output_position,source_interval_start,source_interval_end,causal_cutoff,access_upper_bound,upsample_rule,tail_rule
0,0,6,0,0,0,0,0,causal_repeat,repeat_latest_causal_anchor
0,0,6,1,0,0,1,0,causal_repeat,repeat_latest_causal_anchor
0,0,6,2,0,0,2,0,causal_repeat,repeat_latest_causal_anchor
0,0,6,3,0,0,3,0,causal_repeat,repeat_latest_causal_anchor
0,0,6,4,0,0,4,0,causal_repeat,repeat_latest_causal_anchor
0,0,6,5,0,0,5,0,causal_repeat,repeat_latest_causal_anchor
0,0,6,6,1,6,6,6,causal_repeat,repeat_latest_causal_anchor
0,0,6,7,1,6,7,6,causal_repeat,repeat_latest_causal_anchor
0,0,6,8,1,6,8,6,causal_repeat,repeat_latest_causal_anchor
0,0,6,9,1,6,9,6,causal_repeat,repeat_latest_causal_anchor
0,0,6,10,1,6,10,6,causal_repeat,repeat_latest_causal_anchor
0,0,6,11,1,6,11,6,causal_repeat,repeat_latest_causal_anchor
0,0,6,12,7,12,12,12,causal_repeat,repeat_latest_causal_anchor
0,0,6,13,7,12,13,12,causal_repeat,repeat_latest_causal_anchor
0,0,6,14,7,12,14,12,causal_repeat,repeat_latest_causal_anchor
0,0,6,15,7,12,15,12,causal_repeat,repeat_latest_causal_anchor
0,0,6,16,7,12,16,12,causal_repeat,repeat_latest_causal_anchor
0,0,6,17,7,12,17,12,causal_repeat,repeat_latest_causal_anchor
0,0,6,18,13,18,18,18,causal_repeat,repeat_latest_causal_anchor
0,0,6,19,13,18,19,18,causal_repeat,repeat_latest_causal_anchor
0,0,6,20,13,18,20,18,causal_repeat,repeat_latest_causal_anchor
0,0,6,21,13,18,21,18,causal_repeat,repeat_latest_causal_anchor
0,0,6,22,13,18,22,18,causal_repeat,repeat_latest_causal_anchor
0,0,6,23,13,18,23,18,causal_repeat,repeat_latest_causal_anchor
0,0,6,24,19,24,24,24,causal_repeat,repeat_latest_causal_anchor
0,0,6,25,19,24,25,24,causal_repeat,repeat_latest_causal_anchor
0,0,6,26,19,24,26,24,causal_repeat,repeat_latest_causal_anchor
0,0,6,27,19,24,27,24,causal_repeat,repeat_latest_causal_anchor
0,0,6,28,19,24,28,24,causal_repeat,repeat_latest_causal_anchor
0,0,6,29,19,24,29,24,causal_repeat,repeat_latest_causal_anchor
0,0,6,30,25,30,30,30,causal_repeat,repeat_latest_causal_anchor
0,0,6,31,25,30,31,30,causal_repeat,repeat_latest_causal_anchor
0,0,6,32,25,30,32,30,causal_repeat,repeat_latest_causal_anchor
0,0,6,33,25,30,33,30,causal_repeat,repeat_latest_causal_anchor
0,0,6,34,25,30,34,30,causal_repeat,repeat_latest_causal_anchor
0,0,6,35,25,30,35,30,causal_repeat,repeat_latest_causal_anchor
0,0,6,36,31,36,36,36,causal_repeat,repeat_latest_causal_anchor
0,0,6,37,31,36,37,36,causal_repeat,repeat_latest_causal_anchor
0,0,6,38,31,36,38,36,causal_repeat,repeat_latest_causal_anchor
0,0,6,39,31,36,39,36,causal_repeat,repeat_latest_causal_anchor
0,0,6,40,31,36,40,36,causal_repeat,repeat_latest_causal_anchor
0,0,6,41,31,36,41,36,causal_repeat,repeat_latest_causal_anchor
0,0,6,42,37,42,42,42,causal_repeat,repeat_latest_causal_anchor
0,0,6,43,37,42,43,42,causal_repeat,repeat_latest_causal_anchor
0,0,6,44,37,42,44,42,causal_repeat,repeat_latest_causal_anchor
0,0,6,45,37,42,45,42,causal_repeat,repeat_latest_causal_anchor
0,0,6,46,37,42,46,42,causal_repeat,repeat_latest_causal_anchor
0,0,6,47,37,42,47,42,causal_repeat,repeat_latest_causal_anchor
0,0,6,48,43,48,48,48,causal_repeat,repeat_latest_causal_anchor
0,0,6,49,43,48,49,48,causal_repeat,repeat_latest_causal_anchor
0,0,6,50,43,48,50,48,causal_repeat,repeat_latest_causal_anchor
0,0,6,51,43,48,51,48,causal_repeat,repeat_latest_causal_anchor
0,0,6,52,43,48,52,48,causal_repeat,repeat_latest_causal_anchor
0,0,6,53,43,48,53,48,causal_repeat,repeat_latest_causal_anchor
0,0,6,54,49,54,54,54,causal_repeat,repeat_latest_causal_anchor
0,0,6,55,49,54,55,54,causal_repeat,repeat_latest_causal_anchor
0,0,6,56,49,54,56,54,causal_repeat,repeat_latest_causal_anchor
0,0,6,57,49,54,57,54,causal_repeat,repeat_latest_causal_anchor
0,0,6,58,49,54,58,54,causal_repeat,repeat_latest_causal_anchor
0,0,6,59,49,54,59,54,causal_repeat,repeat_latest_causal_anchor
0,0,6,60,55,60,60,60,causal_repeat,repeat_latest_causal_anchor
0,0,6,61,55,60,61,60,causal_repeat,repeat_latest_causal_anchor
0,0,6,62,55,60,62,60,causal_repeat,repeat_latest_causal_anchor
0,0,6,63,55,60,63,60,causal_repeat,repeat_latest_causal_anchor
0,0,6,64,55,60,64,60,causal_repeat,repeat_latest_causal_anchor
0,0,6,65,55,60,65,60,causal_repeat,repeat_latest_causal_anchor
0,0,6,66,61,66,66,66,causal_repeat,repeat_latest_causal_anchor
0,0,6,67,61,66,67,66,causal_repeat,repeat_latest_causal_anchor
0,0,6,68,61,66,68,66,causal_repeat,repeat_latest_causal_anchor
0,0,6,69,61,66,69,66,causal_repeat,repeat_latest_causal_anchor
0,0,6,70,61,66,70,66,causal_repeat,repeat_latest_causal_anchor
0,0,6,71,61,66,71,66,causal_repeat,repeat_latest_causal_anchor
0,0,6,72,67,72,72,72,causal_repeat,repeat_latest_causal_anchor
0,0,6,73,67,72,73,72,causal_repeat,repeat_latest_causal_anchor
0,0,6,74,67,72,74,72,causal_repeat,repeat_latest_causal_anchor
0,0,6,75,67,72,75,72,causal_repeat,repeat_latest_causal_anchor
0,0,6,76,67,72,76,72,causal_repeat,repeat_latest_causal_anchor
0,0,6,77,67,72,77,72,causal_repeat,repeat_latest_causal_anchor
0,0,6,78,73,78,78,78,causal_repeat,repeat_latest_causal_anchor
0,0,6,79,73,78,79,78,causal_repeat,repeat_latest_causal_anchor
0,0,6,80,73,78,80,78,causal_repeat,repeat_latest_causal_anchor
0,0,6,81,73,78,81,78,causal_repeat,repeat_latest_causal_anchor
0,0,6,82,73,78,82,78,causal_repeat,repeat_latest_causal_anchor
0,0,6,83,73,78,83,78,causal_repeat,repeat_latest_causal_anchor
0,0,6,84,79,84,84,84,causal_repeat,repeat_latest_causal_anchor
0,0,6,85,79,84,85,84,causal_repeat,repeat_latest_causal_anchor
0,0,6,86,79,84,86,84,causal_repeat,repeat_latest_causal_anchor
0,0,6,87,79,84,87,84,causal_repeat,repeat_latest_causal_anchor
0,0,6,88,79,84,88,84,causal_repeat,repeat_latest_causal_anchor
0,0,6,89,79,84,89,84,causal_repeat,repeat_latest_causal_anchor
0,0,6,90,85,90,90,90,causal_repeat,repeat_latest_causal_anchor
0,0,6,91,85,90,91,90,causal_repeat,repeat_latest_causal_anchor
0,0,6,92,85,90,92,90,causal_repeat,repeat_latest_causal_anchor
0,0,6,93,85,90,93,90,causal_repeat,repeat_latest_causal_anchor
0,0,6,94,85,90,94,90,causal_repeat,repeat_latest_causal_anchor
0,0,6,95,85,90,95,90,causal_repeat,repeat_latest_causal_anchor
0,0,6,96,91,96,96,96,causal_repeat,repeat_latest_causal_anchor
0,0,6,97,91,96,97,96,causal_repeat,repeat_latest_causal_anchor
0,0,6,98,91,96,98,96,causal_repeat,repeat_latest_causal_anchor
0,0,6,99,91,96,99,96,causal_repeat,repeat_latest_causal_anchor
0,0,6,100,91,96,100,96,causal_repeat,repeat_latest_causal_anchor
0,0,6,101,91,96,101,96,causal_repeat,repeat_latest_causal_anchor
0,0,6,102,97,102,102,102,causal_repeat,repeat_latest_causal_anchor
0,0,6,103,97,102,103,102,causal_repeat,repeat_latest_causal_anchor
0,0,6,104,97,102,104,102,causal_repeat,repeat_latest_causal_anchor
0,0,6,105,97,102,105,102,causal_repeat,repeat_latest_causal_anchor
0,0,6,106,97,102,106,102,causal_repeat,repeat_latest_causal_anchor
0,0,6,107,97,102,107,102,causal_repeat,repeat_latest_causal_anchor
0,0,6,108,103,108,108,108,causal_repeat,repeat_latest_causal_anchor
0,0,6,109,103,108,109,108,causal_repeat,repeat_latest_causal_anchor
0,0,6,110,103,108,110,108,causal_repeat,repeat_latest_causal_anchor
0,0,6,111,103,108,111,108,causal_repeat,repeat_latest_causal_anchor
0,0,6,112,103,108,112,108,causal_repeat,repeat_latest_causal_anchor
0,0,6,113,103,108,113,108,causal_repeat,repeat_latest_causal_anchor
0,0,6,114,109,114,114,114,causal_repeat,repeat_latest_causal_anchor
0,0,6,115,109,114,115,114,causal_repeat,repeat_latest_causal_anchor
0,0,6,116,109,114,116,114,causal_repeat,repeat_latest_causal_anchor
0,0,6,117,109,114,117,114,causal_repeat,repeat_latest_causal_anchor
0,0,6,118,109,114,118,114,causal_repeat,repeat_latest_causal_anchor
0,0,6,119,109,114,119,114,causal_repeat,repeat_latest_causal_anchor
0,0,6,120,115,120,120,120,causal_repeat,repeat_latest_causal_anchor
0,0,6,121,115,120,121,120,causal_repeat,repeat_latest_causal_anchor
0,0,6,122,115,120,122,120,causal_repeat,repeat_latest_causal_anchor
0,0,6,123,115,120,123,120,causal_repeat,repeat_latest_causal_anchor
0,0,6,124,115,120,124,120,causal_repeat,repeat_latest_causal_anchor
0,0,6,125,115,120,125,120,causal_repeat,repeat_latest_causal_anchor
0,0,6,126,121,126,126,126,causal_repeat,repeat_latest_causal_anchor
0,0,6,127,121,126,127,126,causal_repeat,repeat_latest_causal_anchor
0,0,6,128,121,126,128,126,causal_repeat,repeat_latest_causal_anchor
0,0,6,129,121,126,129,126,causal_repeat,repeat_latest_causal_anchor
0,0,6,130,121,126,130,126,causal_repeat,repeat_latest_causal_anchor
0,0,6,131,121,126,131,126,causal_repeat,repeat_latest_causal_anchor
0,0,6,132,127,132,132,132,causal_repeat,repeat_latest_causal_anchor
0,0,6,133,127,132,133,132,causal_repeat,repeat_latest_causal_anchor
0,0,6,134,127,132,134,132,causal_repeat,repeat_latest_causal_anchor
0,0,6,135,127,132,135,132,causal_repeat,repeat_latest_causal_anchor
0,0,6,136,127,132,136,132,causal_repeat,repeat_latest_causal_anchor
0,0,6,137,127,132,137,132,causal_repeat,repeat_latest_causal_anchor
0,0,6,138,133,138,138,138,causal_repeat,repeat_latest_causal_anchor
0,0,6,139,133,138,139,138,causal_repeat,repeat_latest_causal_anchor
0,0,6,140,133,138,140,138,causal_repeat,repeat_latest_causal_anchor
0,0,6,141,133,138,141,138,causal_repeat,repeat_latest_causal_anchor
0,0,6,142,133,138,142,138,causal_repeat,repeat_latest_causal_anchor
0,0,6,143,133,138,143,138,causal_repeat,repeat_latest_causal_anchor
0,0,18,0,0,0,0,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,1,0,0,1,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,2,0,0,2,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,3,0,0,3,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,4,0,0,4,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,5,0,0,5,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,6,0,0,6,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,7,0,0,7,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,8,0,0,8,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,9,0,0,9,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,10,0,0,10,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,11,0,0,11,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,12,0,0,12,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,13,0,0,13,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,14,0,0,14,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,15,0,0,15,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,16,0,0,16,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,17,0,0,17,0,causal_repeat,repeat_latest_causal_anchor
0,0,18,18,1,18,18,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,19,1,18,19,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,20,1,18,20,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,21,1,18,21,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,22,1,18,22,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,23,1,18,23,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,24,1,18,24,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,25,1,18,25,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,26,1,18,26,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,27,1,18,27,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,28,1,18,28,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,29,1,18,29,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,30,1,18,30,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,31,1,18,31,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,32,1,18,32,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,33,1,18,33,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,34,1,18,34,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,35,1,18,35,18,causal_repeat,repeat_latest_causal_anchor
0,0,18,36,19,36,36,36,causal_repeat,repeat_latest_causal_anchor
0,0,18,37,19,36,37,36,causal_repeat,repeat_latest_causal_anchor
0,0,18,38,19,36,38,36,causal_repeat,repeat_latest_causal_anchor
0,0,18,39,19,36,39,36,causal_repeat,repeat_latest_causal_anchor
0,0,18,40,19,36,40,36,causal_repeat,repeat_latest_causal_anchor
0,0,18,41,19,36,41,36,causal_repeat,repeat_latest_causal_anchor
0,0,18,42,19,36,42,36,causal_repeat,repeat_latest_causal_anchor
0,0,18,43,19,36,43,36,causal_repeat,repeat_latest_causal_anchor
