event_rank_by_abs_train_ramp,event_index,event_timestamp,ramp_kw_per_10min,absolute_ramp_kw_per_10min,representation,alignment_mode,peak_timing_error_steps,local_correlation,reconstruction_rmse_kw,window_radius_steps,source_signal,fit_split
1,10573,2021-03-15 10:20:00,-1086.3386485541046,1086.3386485541046,coaxial_ma6,coaxial,1,0.8276122914542685,265.04689812658756,36,Patv_clean_for_input,train
1,10573,2021-03-15 10:20:00,-1086.3386485541046,1086.3386485541046,coaxial_ma18,coaxial,1,0.6448451424370932,364.21349921536626,36,Patv_clean_for_input,train
1,10573,2021-03-15 10:20:00,-1086.3386485541046,1086.3386485541046,coaxial_ma36,coaxial,-35,0.11558204948588967,507.6395284006301,36,Patv_clean_for_input,train
1,10573,2021-03-15 10:20:00,-1086.3386485541046,1086.3386485541046,causal_downsample_upsample_ma36,causal_downsample_upsample,-25,-0.48333410948730465,608.1370043353894,36,Patv_clean_for_input,train
2,14909,2021-04-14 13:00:00,-991.3354419309701,991.3354419309701,coaxial_ma6,coaxial,4,0.9382499944966548,221.42086769662257,36,Patv_clean_for_input,train
2,14909,2021-04-14 13:00:00,-991.3354419309701,991.3354419309701,coaxial_ma18,coaxial,-5,0.8287569393148353,388.6368319051,36,Patv_clean_for_input,train
2,14909,2021-04-14 13:00:00,-991.3354419309701,991.3354419309701,coaxial_ma36,coaxial,13,0.8376734493522424,486.6293037939726,36,Patv_clean_for_input,train
2,14909,2021-04-14 13:00:00,-991.3354419309701,991.3354419309701,causal_downsample_upsample_ma36,causal_downsample_upsample,31,0.5582248945058768,795.0455316181757,36,Patv_clean_for_input,train
3,15193,2021-04-16 12:20:00,-970.5823810634329,970.5823810634329,coaxial_ma6,coaxial,4,0.9315036332020622,192.25100621404275,36,Patv_clean_for_input,train
3,15193,2021-04-16 12:20:00,-970.5823810634329,970.5823810634329,coaxial_ma18,coaxial,4,0.7604872804906686,346.54051544725013,36,Patv_clean_for_input,train
3,15193,2021-04-16 12:20:00,-970.5823810634329,970.5823810634329,coaxial_ma36,coaxial,25,0.40042374479254644,495.65444324330167,36,Patv_clean_for_input,train
3,15193,2021-04-16 12:20:00,-970.5823810634329,970.5823810634329,causal_downsample_upsample_ma36,causal_downsample_upsample,35,-0.8166643802477314,857.7483481318991,36,Patv_clean_for_input,train
4,16922,2021-04-28 12:30:00,-964.8364184934702,964.8364184934702,coaxial_ma6,coaxial,2,0.8488101209580037,202.75400937415895,36,Patv_clean_for_input,train
4,16922,2021-04-28 12:30:00,-964.8364184934702,964.8364184934702,coaxial_ma18,coaxial,-2,0.3543034451010368,379.9583772467959,36,Patv_clean_for_input,train
4,16922,2021-04-28 12:30:00,-964.8364184934702,964.8364184934702,coaxial_ma36,coaxial,-2,0.209227311749932,396.7229605252519,36,Patv_clean_for_input,train
4,16922,2021-04-28 12:30:00,-964.8364184934702,964.8364184934702,causal_downsample_upsample_ma36,causal_downsample_upsample,-2,-0.046818702956702124,434.793488337549,36,Patv_clean_for_input,train
5,19800,2021-05-18 12:10:00,-960.3375408115671,960.3375408115671,coaxial_ma6,coaxial,-6,0.6585794854170215,287.77211929097086,36,Patv_clean_for_input,train
5,19800,2021-05-18 12:10:00,-960.3375408115671,960.3375408115671,coaxial_ma18,coaxial,-15,0.18622288743503432,384.6776966273837,36,Patv_clean_for_input,train
5,19800,2021-05-18 12:10:00,-960.3375408115671,960.3375408115671,coaxial_ma36,coaxial,-33,-0.21288634718227276,396.95794828012833,36,Patv_clean_for_input,train
5,19800,2021-05-18 12:10:00,-960.3375408115671,960.3375408115671,causal_downsample_upsample_ma36,causal_downsample_upsample,0,-0.1191799241852314,408.4529863705017,36,Patv_clean_for_input,train
6,10535,2021-03-15 04:00:00,-951.4792152518656,951.4792152518656,coaxial_ma6,coaxial,-33,0.8176438316249225,306.303990356024,36,Patv_clean_for_input,train
6,10535,2021-03-15 04:00:00,-951.4792152518656,951.4792152518656,coaxial_ma18,coaxial,18,0.6817111805012495,392.03410358468335,36,Patv_clean_for_input,train
6,10535,2021-03-15 04:00:00,-951.4792152518656,951.4792152518656,coaxial_ma36,coaxial,-8,0.6971045959260705,432.84767090581425,36,Patv_clean_for_input,train
6,10535,2021-03-15 04:00:00,-951.4792152518656,951.4792152518656,causal_downsample_upsample_ma36,causal_downsample_upsample,13,0.5403108794289011,626.940141927925,36,Patv_clean_for_input,train
7,10300,2021-03-13 12:50:00,947.8224405317164,947.8224405317164,coaxial_ma6,coaxial,32,0.8258560562265357,223.95993144186818,36,Patv_clean_for_input,train
7,10300,2021-03-13 12:50:00,947.8224405317164,947.8224405317164,coaxial_ma18,coaxial,0,0.6634784625343606,321.2246576482632,36,Patv_clean_for_input,train
7,10300,2021-03-13 12:50:00,947.8224405317164,947.8224405317164,coaxial_ma36,coaxial,32,0.38041779262878544,370.998210730904,36,Patv_clean_for_input,train
7,10300,2021-03-13 12:50:00,947.8224405317164,947.8224405317164,causal_downsample_upsample_ma36,causal_downsample_upsample,-4,-0.29661941512629875,517.23632608627,36,Patv_clean_for_input,train
8,8174,2021-02-26 18:30:00,-870.824116721082,870.824116721082,coaxial_ma6,coaxial,23,0.772289256335863,252.96635722337672,36,Patv_clean_for_input,train
8,8174,2021-02-26 18:30:00,-870.824116721082,870.824116721082,coaxial_ma18,coaxial,23,0.28853795525778514,395.75190125746764,36,Patv_clean_for_input,train
8,8174,2021-02-26 18:30:00,-870.824116721082,870.824116721082,coaxial_ma36,coaxial,4,0.17198518988450864,394.71231427638213,36,Patv_clean_for_input,train
8,8174,2021-02-26 18:30:00,-870.824116721082,870.824116721082,causal_downsample_upsample_ma36,causal_downsample_upsample,34,-0.326729518785858,459.4150966737962,36,Patv_clean_for_input,train
9,13166,2021-04-02 10:30:00,-827.0740438432836,827.0740438432836,coaxial_ma6,coaxial,1,0.8267829833316127,231.19535591317154,36,Patv_clean_for_input,train
9,13166,2021-04-02 10:30:00,-827.0740438432836,827.0740438432836,coaxial_ma18,coaxial,13,0.29328950709827695,415.9511923548093,36,Patv_clean_for_input,train
9,13166,2021-04-02 10:30:00,-827.0740438432836,827.0740438432836,coaxial_ma36,coaxial,-2,0.12995059844740786,422.6912220087601,36,Patv_clean_for_input,train
9,13166,2021-04-02 10:30:00,-827.0740438432836,827.0740438432836,causal_downsample_upsample_ma36,causal_downsample_upsample,10,-0.03784976153045551,488.48095715098856,36,Patv_clean_for_input,train
10,10492,2021-03-14 20:50:00,812.7158931902986,812.7158931902986,coaxial_ma6,coaxial,4,0.7823606807268889,285.1164532617981,36,Patv_clean_for_input,train
10,10492,2021-03-14 20:50:00,812.7158931902986,812.7158931902986,coaxial_ma18,coaxial,6,0.3029017038116264,449.65600621366866,36,Patv_clean_for_input,train
10,10492,2021-03-14 20:50:00,812.7158931902986,812.7158931902986,coaxial_ma36,coaxial,35,0.4179844815784555,432.7041940651558,36,Patv_clean_for_input,train
10,10492,2021-03-14 20:50:00,812.7158931902986,812.7158931902986,causal_downsample_upsample_ma36,causal_downsample_upsample,20,0.274050458570517,493.76760407772156,36,Patv_clean_for_input,train
11,13637,2021-04-05 17:00:00,-786.3990496735074,786.3990496735074,coaxial_ma6,coaxial,-8,0.787885966208093,252.15746857714154,36,Patv_clean_for_input,train
11,13637,2021-04-05 17:00:00,-786.3990496735074,786.3990496735074,coaxial_ma18,coaxial,-7,0.35427208738727967,397.28512262102157,36,Patv_clean_for_input,train
11,13637,2021-04-05 17:00:00,-786.3990496735074,786.3990496735074,coaxial_ma36,coaxial,-2,-0.09984545074159991,444.4076764642084,36,Patv_clean_for_input,train
