split,aggregation_level,horizon,future_step,Score,MAE,RMSE,valid_target_count,valid_target_ratio
val,prefix_horizon,3.0,,27.257123195813854,222.36271315090224,317.35200697508236,430233,0.6291777444347926
val,prefix_horizon,6.0,,27.590554014685775,224.10481818098253,320.1160296776823,860097,0.6289079294883607
val,prefix_horizon,10.0,,27.92840359983573,226.2546688725202,323.62001624039374,1432312,0.6283889195995332
val,future_step,,1.0,26.935123409906677,221.56944352505093,316.68384899607975,143085,0.6277475058569586
val,future_step,,2.0,27.023091111928778,222.21410860188408,317.0881246767627,143485,0.629502399817491
val,future_step,,3.0,27.15136739461574,223.30121163785293,318.2788684756274,143663,0.630283327629928
val,future_step,,4.0,27.43170450133134,225.2375493951457,322.4443136902144,142962,0.6272078759640949
val,future_step,,5.0,27.49468450767646,225.6552732338271,322.5544321136395,143362,0.6289627699246273
val,future_step,,6.0,27.61291821099161,226.6497339973499,323.57420436726227,143540,0.6297436977370643
val,future_step,,7.0,27.87795169402153,228.44406264050343,327.53902943211324,142839,0.6266682460712312
val,future_step,,8.0,27.918825807896653,228.668383943473,327.39697830767204,143240,0.628427527266665
val,future_step,,9.0,28.025409617988476,229.55485666143807,328.2398912699906,143418,0.6292084550791018
val,future_step,,10.0,28.280829456229146,231.2806812517598,332.07747268171863,142718,0.6261373906481701
test,prefix_horizon,3.0,,28.67948759775525,259.9607487553163,368.64091055013967,1256027,0.6121562056488716
test,prefix_horizon,6.0,,29.126859549408017,262.6765820147142,372.69897814095134,2512061,0.6121579114615012
test,prefix_horizon,10.0,,29.634693618194746,266.0885013163444,377.8585112453569,4186848,0.6121695597248865
test,future_step,,1.0,28.252935446988964,258.06909006330056,365.8267432272609,418674,0.6121537687736864
test,future_step,,2.0,28.479384453642897,259.97839837235625,368.66023945018475,418676,0.6121566930239086
test,future_step,,3.0,28.70024798453723,261.8347443179031,371.4145524958394,418677,0.6121581551490198
test,future_step,,4.0,28.91625615610387,263.64364285735553,374.10134107673804,418677,0.6121581551490198
test,future_step,,5.0,29.128414920919358,265.4064588731704,376.7256323326863,418678,0.6121596172741309
test,future_step,,6.0,29.33675595734699,267.1270903648877,379.29504604455246,418679,0.612161079399242
test,future_step,,7.0,29.54090805869946,268.8047484272848,381.8123891377012,418679,0.612161079399242
test,future_step,,8.0,29.740197722304455,270.43717230607956,384.2778701270807,418684,0.6121683900247976
test,future_step,,9.0,29.934314946924598,272.02222462800404,386.6917449172249,418697,0.6121873976512422
test,future_step,,10.0,30.12483913238726,273.56010614364686,389.05171204577726,418727,0.6122312614045758
