split,TurbID,node_index,horizon,Score,MAE,RMSE,valid_target_count,reference_val_score_h10,reference_val_rank_desc,hard_turbine_threshold_val_score_h10,is_top10pct_hard_turbine,hard_group_rule
val,1,0,3,0.2642507830366504,260.30039336790634,368.22831002182727,3202,0.2690278697136381,5,0.2609385788627858,True,top_14_by_validation_H10_Score
val,1,0,6,0.26708031599857723,262.50640823590237,371.54639003509305,6401,0.2690278697136381,5,0.2609385788627858,True,top_14_by_validation_H10_Score
val,1,0,10,0.2690278697136381,264.97252801276244,375.33069304129435,10659,0.2690278697136381,5,0.2609385788627858,True,top_14_by_validation_H10_Score
val,2,1,3,0.20432646923633807,201.89116161114242,288.4476866531677,3188,0.2082007903490341,111,0.2609385788627858,False,top_14_by_validation_H10_Score
val,2,1,6,0.20604413690670076,203.59102063418538,290.9892875567115,6373,0.2082007903490341,111,0.2609385788627858,False,top_14_by_validation_H10_Score
val,2,1,10,0.2082007903490341,205.74333159894852,293.9133759917161,10612,0.2082007903490341,111,0.2609385788627858,False,top_14_by_validation_H10_Score
val,3,2,3,0.26126810342712486,258.5800335121768,362.05707416805234,3302,0.267680336141216,7,0.2609385788627858,True,top_14_by_validation_H10_Score
val,3,2,6,0.2649533191843864,260.73997609848357,365.2757415330131,6601,0.267680336141216,7,0.2609385788627858,True,top_14_by_validation_H10_Score
val,3,2,10,0.267680336141216,263.4406513153919,369.1669904519177,10988,0.267680336141216,7,0.2609385788627858,True,top_14_by_validation_H10_Score
val,4,3,3,0.2565732313127591,254.15964359913107,357.3599439518146,3222,0.2602181576788106,15,0.2609385788627858,False,top_14_by_validation_H10_Score
val,4,3,6,0.25878190941875256,256.3406523883509,360.553184381602,6441,0.2602181576788106,15,0.2609385788627858,False,top_14_by_validation_H10_Score
val,4,3,10,0.2602181576788106,259.0930127440238,364.3949849718658,10724,0.2602181576788106,15,0.2609385788627858,False,top_14_by_validation_H10_Score
val,5,4,3,0.2683016375791781,266.1171666126939,376.27314226438875,3574,0.2712814269999168,3,0.2609385788627858,True,top_14_by_validation_H10_Score
val,5,4,6,0.2699022825309745,268.34733106454587,379.56714133334845,7145,0.2712814269999168,3,0.2609385788627858,True,top_14_by_validation_H10_Score
val,5,4,10,0.2712814269999168,271.06976223842497,383.46731719300124,11900,0.2712814269999168,3,0.2609385788627858,True,top_14_by_validation_H10_Score
val,6,5,3,0.26574397654316356,264.16029511939007,369.99088047177014,3271,0.2694824279036187,4,0.2609385788627858,True,top_14_by_validation_H10_Score
val,6,5,6,0.26784780265644176,266.2635689264807,373.17223340863933,6539,0.2694824279036187,4,0.2609385788627858,True,top_14_by_validation_H10_Score
val,6,5,10,0.2694824279036187,268.71963872293264,376.95440535585146,10892,0.2694824279036187,4,0.2609385788627858,True,top_14_by_validation_H10_Score
val,7,6,3,0.25314560451578405,251.78874953039826,352.0634662529394,3223,0.25551140248562676,20,0.2609385788627858,False,top_14_by_validation_H10_Score
val,7,6,6,0.2546955708628308,253.73817595528203,355.0722055866273,6443,0.25551140248562676,20,0.2609385788627858,False,top_14_by_validation_H10_Score
val,7,6,10,0.25551140248562676,256.11167874981885,358.6735356243959,10726,0.25551140248562676,20,0.2609385788627858,False,top_14_by_validation_H10_Score
val,8,7,3,0.2568009450186416,255.2264891271083,360.31819736423574,3323,0.2609385788627858,14,0.2609385788627858,True,top_14_by_validation_H10_Score
val,8,7,6,0.2590314577488137,257.2459085463365,363.4348101841433,6643,0.2609385788627858,14,0.2609385788627858,True,top_14_by_validation_H10_Score
val,8,7,10,0.2609385788627858,259.6540625629253,367.12381034696796,11063,0.2609385788627858,14,0.2609385788627858,True,top_14_by_validation_H10_Score
val,9,8,3,0.2688125967500164,266.7059546173521,371.83728346800905,3204,0.27421699243452846,2,0.2609385788627858,True,top_14_by_validation_H10_Score
val,9,8,6,0.2714130935347385,268.8568453647167,375.0957914993442,6405,0.27421699243452846,2,0.2609385788627858,True,top_14_by_validation_H10_Score
val,9,8,10,0.27421699243452846,271.63169121432577,379.2167795901826,10668,0.27421699243452846,2,0.2609385788627858,True,top_14_by_validation_H10_Score
val,10,9,3,0.25513273233481926,253.07590955550634,355.8703163318103,3263,0.259572036496099,17,0.2609385788627858,False,top_14_by_validation_H10_Score
val,10,9,6,0.25723207413715343,255.05082568108222,358.95081861078825,6523,0.259572036496099,17,0.2609385788627858,False,top_14_by_validation_H10_Score
val,10,9,10,0.259572036496099,257.7115286978955,363.1052780678135,10863,0.259572036496099,17,0.2609385788627858,False,top_14_by_validation_H10_Score
val,11,10,3,0.25568249750306243,252.90429477838535,353.06666421176226,3433,0.2599470410342992,16,0.2609385788627858,False,top_14_by_validation_H10_Score
val,11,10,6,0.2578346567615754,254.94336393370878,356.0628330922039,6863,0.2599470410342992,16,0.2609385788627858,False,top_14_by_validation_H10_Score
val,11,10,10,0.2599470410342992,257.4449155080328,359.836597765766,11429,0.2599470410342992,16,0.2609385788627858,False,top_14_by_validation_H10_Score
val,12,11,3,0.26306785711127767,258.994188736425,367.6996927875279,3090,0.26868242025299965,6,0.2609385788627858,True,top_14_by_validation_H10_Score
val,12,11,6,0.26580528106090107,260.93308532902614,370.8684979126566,6177,0.26868242025299965,6,0.2609385788627858,True,top_14_by_validation_H10_Score
val,12,11,10,0.26868242025299965,263.38189595233104,375.08988969755967,10283,0.26868242025299965,6,0.2609385788627858,True,top_14_by_validation_H10_Score
val,13,12,3,0.2539779443685671,252.32191905702976,348.9380555564728,3264,0.25835625786660577,18,0.2609385788627858,False,top_14_by_validation_H10_Score
val,13,12,6,0.25629125745056736,254.35759244130148,351.96433576577954,6525,0.25835625786660577,18,0.2609385788627858,False,top_14_by_validation_H10_Score
val,13,12,10,0.25835625786660577,256.79306885235445,355.57412919639347,10866,0.25835625786660577,18,0.2609385788627858,False,top_14_by_validation_H10_Score
val,14,13,3,0.24962561845088474,248.70695087278816,354.26937275575244,3422,0.2541215549147563,22,0.2609385788627858,False,top_14_by_validation_H10_Score
val,14,13,6,0.25204362023924,250.71114853482342,357.34486714963543,6841,0.2541215549147563,22,0.2609385788627858,False,top_14_by_validation_H10_Score
