graph,source_TurbID,target_TurbID,source_node_index,target_node_index,weight,edge_length,delta_wspd_cosine,ma36_patv_correlation,fit_split
Micro,1,2,0,1,0.14278876781463623,477.4161855436831,0.3922235536126477,0.9455199048251415,train
Micro,1,3,0,2,0.1380649209022522,953.5971809822636,-0.047496317715554515,0.9489797551542677,train
Micro,1,23,0,22,0.21095268428325653,949.3748939984782,0.6694953394200885,0.9505399258157494,train
Micro,1,24,0,23,0.20769518613815308,474.15250884170086,0.5964319222480639,0.9296913808633129,train
Micro,1,25,0,24,0.19371163845062256,941.916237617386,0.5101276855330716,0.9405694804665635,train
Micro,1,45,0,44,0.05703095346689224,1952.413879014634,0.5242401050306265,0.9324030870320852,train
Micro,1,47,0,46,0.04975586384534836,1270.8876077862749,0.4573660097584824,0.9255590554187673,train
Micro,2,1,1,0,0.14296463131904602,477.4161855436831,0.3922235536126477,0.9455199048251415,train
Micro,2,3,1,2,0.14296798408031464,476.9147522244701,-0.03571372382382891,0.958655129900264,train
Micro,2,4,1,3,0.20842239260673523,949.4959282911008,0.6162952740389233,0.9535313636162054,train
Micro,2,5,1,4,0.05050965026021004,1424.5616319455223,0.44384733480739763,0.9234951807576326,train
Micro,2,22,1,21,0.06424020230770111,1899.9409490882222,0.5645028774968462,0.9286575133857584,train
Micro,2,24,1,23,0.1382661908864975,951.1968676464869,0.34331206351087956,0.9431578541757422,train
Micro,2,26,1,25,0.1971595138311386,1007.6808763648767,0.5241369231659045,0.9362487549200389,train
Micro,2,46,1,45,0.055469442158937454,1944.4548127132955,0.48743090862181404,0.9529169766562615,train
Micro,3,1,2,0,0.13834325969219208,953.5971809822636,-0.047496317715554515,0.9489797551542677,train
Micro,3,2,2,1,0.1430799663066864,476.9147522244701,-0.03571372382382891,0.958655129900264,train
Micro,3,4,2,3,0.14308999478816986,475.4246718269643,-0.057674678932506225,0.9580265871450764,train
Micro,3,5,2,4,0.13839153945446014,949.8842481577063,-0.052676392338024715,0.9360418886474617,train
Micro,3,27,2,26,0.13709527254104614,1045.4157238637772,-0.032438886088001204,0.9413335846274105,train
Micro,3,91,2,90,0.07555796205997467,2297.4167311808346,0.21278683476012994,0.8958826492774151,train
Micro,3,94,2,93,0.04950970783829689,2717.6889113365382,0.13942955975099702,0.9113575973484943,train
Micro,3,101,2,100,0.04807869344949722,5320.398079173663,0.13539953195624685,0.892194726784018,train
Micro,3,119,2,118,0.07658460736274719,4560.51882680007,0.2156780873257326,0.8715541495358113,train
Micro,3,128,2,127,0.05026903375983238,4440.753946025098,0.14156799919683904,0.835556564101673,train
Micro,4,2,3,1,0.19812420010566711,949.4959282911008,0.6162952740389233,0.9535313636162054,train
Micro,4,3,3,2,0.14286336302757263,475.4246718269643,-0.057674678932506225,0.9580265871450764,train
Micro,4,5,3,4,0.2088182270526886,475.0708232153166,0.6780374081893777,0.9348223032861575,train
