TurbID,node_index,micro_degree,macro_degree,neighbor_jaccard_micro_macro,global_support_jaccard_micro_macro,fit_split,micro_edge_length_mean,micro_edge_length_q90,macro_edge_length_mean,macro_edge_length_q90,distance_edge_length_mean,distance_edge_length_q90
1,0,7,11,0.38461538461538464,0.4295550847457627,train,1002.822641969203,1543.4981162776187,2081.492159478994,4757.324261003451,759.2914013967024,951.9082661887494
2,1,8,13,0.4,0.4295550847457627,train,1141.4577504772074,1913.2951081757442,1742.5078138268962,2758.7884097244305,772.5409220141235,985.0872728775207
3,2,10,13,0.2777777777777778,0.4295550847457627,train,2323.8013071571386,4636.50675203743,1993.1992921425763,4184.80402219572,780.2473154110363,1008.6883067111718
4,3,7,12,0.46153846153846156,0.4295550847457627,train,1037.0618932927682,1684.7499319117917,1785.250211572319,3235.000038254898,763.7659339618057,964.7498723809501
5,4,7,11,0.5,0.4295550847457627,train,1101.2518162742108,1853.9023443709332,1944.2266103096817,3806.483968611885,768.7840703319204,964.9839898594672
6,5,6,12,0.38461538461538464,0.4295550847457627,train,980.1150358128298,1502.0567398492276,1912.2973486086955,3346.5193132440313,783.1230069596044,1013.3906471480387
7,6,7,13,0.3333333333333333,0.4295550847457627,train,1140.1094851422183,1700.4399106881012,2072.350999332563,2736.881698007655,897.7894074433659,1308.3941475508475
8,7,8,12,0.5384615384615384,0.4295550847457627,train,1329.4089981968975,1900.4960511615695,1717.366922786464,2382.658811475529,1079.8961615323935,1399.0345257353308
9,8,8,11,0.5833333333333334,0.4295550847457627,train,1403.4387814643198,2284.807634731193,2540.220901212047,3804.6295944993144,937.4460035922268,1146.468715337517
10,9,7,12,0.5833333333333334,0.4295550847457627,train,1025.9637447454095,1493.4879260516732,3522.4709801581307,10237.195893193732,811.4156017662697,1082.5080301057362
11,10,7,13,0.5384615384615384,0.4295550847457627,train,1030.134214954537,1437.916834956588,3618.6172265926175,10689.913458496043,854.60064971741,1193.3762365979119
12,11,8,13,0.4,0.4295550847457627,train,3773.848443057733,11544.536595027197,3504.309491465898,9730.57203135456,1063.2281202452127,1420.7139835368337
13,12,8,13,0.4,0.4295550847457627,train,4921.421747252337,11733.41335775345,6687.866229659035,11307.425110178976,929.6330845884661,1128.3701902301004
14,13,8,12,0.3333333333333333,0.4295550847457627,train,4650.68186686528,11259.463392727906,5241.515772466578,10405.257921484183,780.6826429445159,1007.1439974671412
15,14,8,13,0.5,0.4295550847457627,train,950.7896144103801,1311.9962149985492,4956.148957217868,10357.205900742614,768.5896697158735,984.4119016560609
16,15,9,14,0.4375,0.4295550847457627,train,1215.3922859926877,2099.586898358157,3002.5650235749526,8523.128484153433,769.3376818856066,985.2410803170739
17,16,6,12,0.38461538461538464,0.4295550847457627,train,817.6217924611633,1026.1045723997452,2087.568829926237,2414.3055164411526,772.0834733990707,984.1000283045593
18,17,8,12,0.5384615384615384,0.4295550847457627,train,943.8215437582932,1275.6000489073792,1315.48720521648,2180.151866390683,773.1643114300705,987.0991057433619
19,18,7,12,0.46153846153846156,0.4295550847457627,train,949.1408368415149,1360.1385046431403,1508.250023183659,2431.2250174942355,772.9558107541665,986.3412145669777
20,19,10,12,0.29411764705882354,0.4295550847457627,train,2176.7607263325494,3747.4701572764734,1515.0511374919151,2675.75667373907,772.8726020669417,975.8981573069038
21,20,9,13,0.4666666666666667,0.4295550847457627,train,1109.5147070040346,1680.1776549975289,1432.3537126864233,2209.855533116597,792.915369223317,1037.2333708523126
22,21,10,13,0.5333333333333333,0.4295550847457627,train,1425.0548600715715,2479.714986291408,1635.5946989973438,2814.647236083767,793.6674470096999,1046.1307702658694
23,22,8,14,0.4666666666666667,0.4295550847457627,train,921.8377892101082,1177.8556167490767,1650.9960076850737,2491.85346466778,777.7545847521312,999.2565511005881
24,23,7,12,0.5833333333333334,0.4295550847457627,train,930.3416761710876,1300.9258013885635,1319.6016451757002,2158.6356978987365,763.7064199909566,960.8575431577008
25,24,8,14,0.4666666666666667,0.4295550847457627,train,880.1157900418307,1083.228375564209,1707.1659716967029,3667.6034713917093,760.7913657583886,954.9294145964859
26,25,8,13,0.4,0.4295550847457627,train,962.118496849185,1423.7387786468987,2199.4958671122413,5640.124301685156,754.780340863377,947.4588992178384
27,26,7,11,0.5,0.4295550847457627,train,994.0333357991492,1479.6956070123151,1647.4285537712242,3324.1680929089316,767.40978910944,970.324767073391
