TurbID,node_index,signal,representation,component,causal_window,future_horizon,association_method,association,absolute_association,valid_pair_count,feature_information_end_offset,target_start_offset,target_end_offset,fit_split
1,0,Patv_raw,raw,raw,,3,pearson,0.9378494151909231,0.9378494151909231,28646,0,1,3,train
2,1,Patv_raw,raw,raw,,3,pearson,0.9323130189953818,0.9323130189953818,28428,0,1,3,train
3,2,Patv_raw,raw,raw,,3,pearson,0.9377541002729338,0.9377541002729338,28855,0,1,3,train
4,3,Patv_raw,raw,raw,,3,pearson,0.9319022823442222,0.9319022823442222,28895,0,1,3,train
5,4,Patv_raw,raw,raw,,3,pearson,0.9436026139626137,0.9436026139626137,30093,0,1,3,train
6,5,Patv_raw,raw,raw,,3,pearson,0.9421480300254604,0.9421480300254604,29236,0,1,3,train
7,6,Patv_raw,raw,raw,,3,pearson,0.9410223187918001,0.9410223187918001,29377,0,1,3,train
8,7,Patv_raw,raw,raw,,3,pearson,0.9403149782099072,0.9403149782099072,29609,0,1,3,train
9,8,Patv_raw,raw,raw,,3,pearson,0.9365515728114059,0.9365515728114059,28977,0,1,3,train
10,9,Patv_raw,raw,raw,,3,pearson,0.9413334464489046,0.9413334464489046,29362,0,1,3,train
11,10,Patv_raw,raw,raw,,3,pearson,0.9363520628184078,0.9363520628184078,29194,0,1,3,train
12,11,Patv_raw,raw,raw,,3,pearson,0.9396994524955372,0.9396994524955372,29203,0,1,3,train
13,12,Patv_raw,raw,raw,,3,pearson,0.9337429249054985,0.9337429249054985,29324,0,1,3,train
14,13,Patv_raw,raw,raw,,3,pearson,0.9388215211588528,0.9388215211588528,30071,0,1,3,train
15,14,Patv_raw,raw,raw,,3,pearson,0.9362540939421912,0.9362540939421912,29042,0,1,3,train
16,15,Patv_raw,raw,raw,,3,pearson,0.9391048943144775,0.9391048943144775,29012,0,1,3,train
17,16,Patv_raw,raw,raw,,3,pearson,0.9337549358984655,0.9337549358984655,29284,0,1,3,train
18,17,Patv_raw,raw,raw,,3,pearson,0.9433524059369327,0.9433524059369327,30104,0,1,3,train
19,18,Patv_raw,raw,raw,,3,pearson,0.9244852720472176,0.9244852720472176,29109,0,1,3,train
20,19,Patv_raw,raw,raw,,3,pearson,0.9311962624216711,0.9311962624216711,28554,0,1,3,train
21,20,Patv_raw,raw,raw,,3,pearson,0.9297268328343475,0.9297268328343475,29344,0,1,3,train
22,21,Patv_raw,raw,raw,,3,pearson,0.9309914866285749,0.9309914866285749,28001,0,1,3,train
23,22,Patv_raw,raw,raw,,3,pearson,0.9301657506398852,0.9301657506398852,28704,0,1,3,train
24,23,Patv_raw,raw,raw,,3,pearson,0.9266229531330898,0.9266229531330898,28986,0,1,3,train
25,24,Patv_raw,raw,raw,,3,pearson,0.9303282468192521,0.9303282468192521,28808,0,1,3,train
26,25,Patv_raw,raw,raw,,3,pearson,0.9395268841753125,0.9395268841753125,30522,0,1,3,train
27,26,Patv_raw,raw,raw,,3,pearson,0.9259318125161282,0.9259318125161282,29495,0,1,3,train
28,27,Patv_raw,raw,raw,,3,pearson,0.9310691309651017,0.9310691309651017,30608,0,1,3,train
29,28,Patv_raw,raw,raw,,3,pearson,0.9283324227702712,0.9283324227702712,29023,0,1,3,train
30,29,Patv_raw,raw,raw,,3,pearson,0.930195695804295,0.930195695804295,29573,0,1,3,train
31,30,Patv_raw,raw,raw,,3,pearson,0.9292528980644955,0.9292528980644955,29657,0,1,3,train
32,31,Patv_raw,raw,raw,,3,pearson,0.9259134255136485,0.9259134255136485,28653,0,1,3,train
33,32,Patv_raw,raw,raw,,3,pearson,0.931044858424113,0.931044858424113,29174,0,1,3,train
34,33,Patv_raw,raw,raw,,3,pearson,0.9264159560277394,0.9264159560277394,28543,0,1,3,train
35,34,Patv_raw,raw,raw,,3,pearson,0.9249413868704146,0.9249413868704146,28312,0,1,3,train
36,35,Patv_raw,raw,raw,,3,pearson,0.9283612402445137,0.9283612402445137,28999,0,1,3,train
37,36,Patv_raw,raw,raw,,3,pearson,0.9378687182932295,0.9378687182932295,29111,0,1,3,train
38,37,Patv_raw,raw,raw,,3,pearson,0.9353530449280213,0.9353530449280213,29490,0,1,3,train
39,38,Patv_raw,raw,raw,,3,pearson,0.9281264795817074,0.9281264795817074,29004,0,1,3,train
40,39,Patv_raw,raw,raw,,3,pearson,0.9280771089127837,0.9280771089127837,29404,0,1,3,train
41,40,Patv_raw,raw,raw,,3,pearson,0.9278196715428251,0.9278196715428251,27998,0,1,3,train
42,41,Patv_raw,raw,raw,,3,pearson,0.9266307292314572,0.9266307292314572,28816,0,1,3,train
43,42,Patv_raw,raw,raw,,3,pearson,0.9336529142575997,0.9336529142575997,29260,0,1,3,train
44,43,Patv_raw,raw,raw,,3,pearson,0.9257105421239508,0.9257105421239508,28004,0,1,3,train
45,44,Patv_raw,raw,raw,,3,pearson,0.9267781497341017,0.9267781497341017,28704,0,1,3,train
46,45,Patv_raw,raw,raw,,3,pearson,0.928934855044728,0.928934855044728,28041,0,1,3,train
47,46,Patv_raw,raw,raw,,3,pearson,0.9274538684208551,0.9274538684208551,28294,0,1,3,train
48,47,Patv_raw,raw,raw,,3,pearson,0.9301023643941929,0.9301023643941929,29044,0,1,3,train
49,48,Patv_raw,raw,raw,,3,pearson,0.9352822972095396,0.9352822972095396,30684,0,1,3,train
50,49,Patv_raw,raw,raw,,3,pearson,0.9306449326006848,0.9306449326006848,28786,0,1,3,train
51,50,Patv_raw,raw,raw,,3,pearson,0.9396167972877411,0.9396167972877411,29611,0,1,3,train
52,51,Patv_raw,raw,raw,,3,pearson,0.9259079115044169,0.9259079115044169,27178,0,1,3,train
