event_rank_by_abs_train_ramp,event_index,event_timestamp,ramp_kw_per_10min,absolute_ramp_kw_per_10min,representation,alignment_mode,peak_timing_error_steps,local_correlation,reconstruction_rmse_kw,window_radius_steps,fit_split
1,360,synthetic_00360,45.50439453125,45.50439453125,coaxial_ma6,coaxial,35,0.9816859287135467,20.41188621520996,36,train
1,360,synthetic_00360,45.50439453125,45.50439453125,coaxial_ma18,coaxial,-18,0.8809979310766228,60.316036224365234,36,train
1,360,synthetic_00360,45.50439453125,45.50439453125,coaxial_ma36,coaxial,0,0.6760606788635876,106.52954864501953,36,train
1,360,synthetic_00360,45.50439453125,45.50439453125,causal_downsample_upsample_ma36,causal_downsample_upsample,0,0.5387862172155323,159.56423950195312,36,train
2,172,synthetic_00172,-39.036865234375,39.036865234375,coaxial_ma6,coaxial,-2,0.9954484185762245,17.17064666748047,36,train
2,172,synthetic_00172,-39.036865234375,39.036865234375,coaxial_ma18,coaxial,-2,0.9587908035655228,53.422447204589844,36,train
2,172,synthetic_00172,-39.036865234375,39.036865234375,coaxial_ma36,coaxial,14,0.7894315309616807,105.37384796142578,36,train
2,172,synthetic_00172,-39.036865234375,39.036865234375,causal_downsample_upsample_ma36,causal_downsample_upsample,-28,-0.3122768487482435,188.17413330078125,36,train
3,105,synthetic_00105,39.01470947265625,39.01470947265625,coaxial_ma6,coaxial,5,0.9938272812647381,18.03046226501465,36,train
3,105,synthetic_00105,39.01470947265625,39.01470947265625,coaxial_ma18,coaxial,16,0.925595701294582,58.459510803222656,36,train
3,105,synthetic_00105,39.01470947265625,39.01470947265625,coaxial_ma36,coaxial,-32,0.49751096445392307,116.66009521484375,36,train
3,105,synthetic_00105,39.01470947265625,39.01470947265625,causal_downsample_upsample_ma36,causal_downsample_upsample,3,-0.8750578524730993,215.08673095703125,36,train
4,1244,synthetic_01244,38.49017333984375,38.49017333984375,coaxial_ma6,coaxial,10,0.9949334199348804,17.782920837402344,36,train
4,1244,synthetic_01244,38.49017333984375,38.49017333984375,coaxial_ma18,coaxial,10,0.9551644104744189,54.77505111694336,36,train
4,1244,synthetic_01244,38.49017333984375,38.49017333984375,coaxial_ma36,coaxial,16,0.7542568823960073,108.83438110351562,36,train
4,1244,synthetic_01244,38.49017333984375,38.49017333984375,causal_downsample_upsample_ma36,causal_downsample_upsample,-20,-0.3248926820469225,200.53160095214844,36,train
