split,aggregation_level,horizon,future_step,Score,MAE,RMSE,valid_target_count,valid_target_ratio
val,prefix_horizon,3.0,,0.9453344583106471,117.076220703125,126.12402612957263,215,0.9953703703703703
val,prefix_horizon,6.0,,1.0207939910866168,126.29305079260538,134.05373478994034,430,0.9953703703703703
val,prefix_horizon,10.0,,1.1062589079391112,136.6722847465035,143.11765959209066,715,0.9930555555555556
val,future_step,,1.0,0.853887935577877,106.48816691653829,118.6831647681567,71,0.9861111111111112
val,future_step,,2.0,0.9561321818033856,119.51652272542317,127.09208803316211,72,1.0
val,future_step,,3.0,1.0006153293185764,125.07691616482205,132.13030609822493,72,1.0
val,future_step,,4.0,1.005784124465216,125.66692083654269,133.98001023419738,71,0.9861111111111112
val,future_step,,5.0,1.102867180718316,137.8583975897895,143.26012663486617,72,1.0
val,future_step,,6.0,1.1429409315321177,142.86761644151477,146.96114060914837,72,1.0
val,future_step,,7.0,1.1370960092695936,142.24104072678256,147.4622004480881,71,0.9861111111111112
val,future_step,,8.0,1.2268928455171129,153.1895674584617,156.39698796605305,71,0.9861111111111112
val,future_step,,9.0,1.254435011121962,156.80437639024524,159.2321747201805,72,1.0
val,future_step,,10.0,1.25429543437655,157.0307531222491,159.74082482090463,71,0.9861111111111112
test,prefix_horizon,3.0,,1.196541866788446,149.15556264146466,151.3792632244168,642,0.9907407407407407
test,prefix_horizon,6.0,,1.209126738795045,150.46214320537277,152.97509956454317,1286,0.9922839506172839
test,prefix_horizon,10.0,,1.2052420527405874,149.64893835233065,153.11499491791423,2146,0.9935185185185185
test,future_step,,1.0,1.1809251650855654,147.59063720703125,149.8017466758156,214,0.9907407407407407
test,future_step,,2.0,1.1927170558707425,149.06352733005988,151.28844536198926,214,0.9907407407407407
test,future_step,,3.0,1.2066959441654266,150.81252338730286,153.03034665035878,214,0.9907407407407407
test,future_step,,4.0,1.2175170704675098,152.1630069340501,154.47654877883002,214,0.9907407407407407
test,future_step,,5.0,1.2131753087926795,151.5813828579215,154.3903845199015,215,0.9953703703703703
test,future_step,,6.0,1.212989845235512,151.55146115325218,154.78119214170775,215,0.9953703703703703
test,future_step,,7.0,1.2074809999819154,150.85238093886264,154.64401122728086,215,0.9953703703703703
test,future_step,,8.0,1.1961277720940808,149.41926212754362,153.9481825841926,215,0.9953703703703703
test,future_step,,9.0,1.1849732291408317,148.01037115052688,153.21258802956436,215,0.9953703703703703
test,future_step,,10.0,1.1646450560231687,145.44963946675145,151.4728465576979,215,0.9953703703703703
