TurbID,node_index,signal,representation,component,causal_window,future_horizon,association_method,association,absolute_association,valid_pair_count,feature_information_end_offset,target_start_offset,target_end_offset,fit_split
1,0,Patv_raw,raw,raw,,3,pearson,0.9770947997916444,0.9770947997916444,1361,0,1,3,train
2,1,Patv_raw,raw,raw,,3,pearson,0.9782767217896513,0.9782767217896513,1437,0,1,3,train
3,2,Patv_raw,raw,raw,,3,pearson,0.9779165306938921,0.9779165306938921,1437,0,1,3,train
4,3,Patv_raw,raw,raw,,3,pearson,0.9771926082712723,0.9771926082712723,1437,0,1,3,train
5,4,Patv_raw,raw,raw,,3,pearson,0.9768798303303301,0.9768798303303301,1437,0,1,3,train
6,5,Patv_raw,raw,raw,,3,pearson,0.9763029116387176,0.9763029116387176,1437,0,1,3,train
7,6,Patv_raw,raw,raw,,3,pearson,0.9785400757494821,0.9785400757494821,1437,0,1,3,train
8,7,Patv_raw,raw,raw,,3,pearson,0.9773291233080736,0.9773291233080736,1437,0,1,3,train
1,0,Patv_raw,raw,raw,,6,pearson,0.9665960088537098,0.9665960088537098,1358,0,1,6,train
2,1,Patv_raw,raw,raw,,6,pearson,0.9670143404694896,0.9670143404694896,1434,0,1,6,train
3,2,Patv_raw,raw,raw,,6,pearson,0.9672297038524296,0.9672297038524296,1434,0,1,6,train
4,3,Patv_raw,raw,raw,,6,pearson,0.9669528598030115,0.9669528598030115,1434,0,1,6,train
5,4,Patv_raw,raw,raw,,6,pearson,0.966494005977474,0.966494005977474,1434,0,1,6,train
6,5,Patv_raw,raw,raw,,6,pearson,0.9656495066756747,0.9656495066756747,1434,0,1,6,train
7,6,Patv_raw,raw,raw,,6,pearson,0.9678175843936022,0.9678175843936022,1434,0,1,6,train
8,7,Patv_raw,raw,raw,,6,pearson,0.9670096959743278,0.9670096959743278,1434,0,1,6,train
1,0,Patv_raw,raw,raw,,10,pearson,0.9402097907900059,0.9402097907900059,1354,0,1,10,train
2,1,Patv_raw,raw,raw,,10,pearson,0.9403999778809407,0.9403999778809407,1430,0,1,10,train
3,2,Patv_raw,raw,raw,,10,pearson,0.9407946128529965,0.9407946128529965,1430,0,1,10,train
4,3,Patv_raw,raw,raw,,10,pearson,0.9406198877858029,0.9406198877858029,1430,0,1,10,train
5,4,Patv_raw,raw,raw,,10,pearson,0.9400657737521692,0.9400657737521692,1430,0,1,10,train
6,5,Patv_raw,raw,raw,,10,pearson,0.9396180990107825,0.9396180990107825,1430,0,1,10,train
7,6,Patv_raw,raw,raw,,10,pearson,0.9410825373087077,0.9410825373087077,1430,0,1,10,train
8,7,Patv_raw,raw,raw,,10,pearson,0.9403017249271062,0.9403017249271062,1430,0,1,10,train
1,0,Patv_raw,trend_ma6,trend,6.0,3,pearson,0.9626199095357285,0.9626199095357285,1436,0,1,3,train
2,1,Patv_raw,trend_ma6,trend,6.0,3,pearson,0.9628442127927372,0.9628442127927372,1437,0,1,3,train
3,2,Patv_raw,trend_ma6,trend,6.0,3,pearson,0.9625114760695227,0.9625114760695227,1437,0,1,3,train
4,3,Patv_raw,trend_ma6,trend,6.0,3,pearson,0.962920499330955,0.962920499330955,1437,0,1,3,train
5,4,Patv_raw,trend_ma6,trend,6.0,3,pearson,0.9620613730397288,0.9620613730397288,1437,0,1,3,train
6,5,Patv_raw,trend_ma6,trend,6.0,3,pearson,0.962221476646879,0.962221476646879,1437,0,1,3,train
7,6,Patv_raw,trend_ma6,trend,6.0,3,pearson,0.9635300236252192,0.9635300236252192,1437,0,1,3,train
8,7,Patv_raw,trend_ma6,trend,6.0,3,pearson,0.9627335155841187,0.9627335155841187,1437,0,1,3,train
1,0,Patv_raw,trend_ma6,trend,6.0,6,pearson,0.940768017332714,0.940768017332714,1433,0,1,6,train
2,1,Patv_raw,trend_ma6,trend,6.0,6,pearson,0.9405801291059538,0.9405801291059538,1434,0,1,6,train
3,2,Patv_raw,trend_ma6,trend,6.0,6,pearson,0.9404164577437474,0.9404164577437474,1434,0,1,6,train
4,3,Patv_raw,trend_ma6,trend,6.0,6,pearson,0.9410032251076448,0.9410032251076448,1434,0,1,6,train
5,4,Patv_raw,trend_ma6,trend,6.0,6,pearson,0.9402535330861171,0.9402535330861171,1434,0,1,6,train
6,5,Patv_raw,trend_ma6,trend,6.0,6,pearson,0.9405462437969828,0.9405462437969828,1434,0,1,6,train
7,6,Patv_raw,trend_ma6,trend,6.0,6,pearson,0.9411647729697995,0.9411647729697995,1434,0,1,6,train
8,7,Patv_raw,trend_ma6,trend,6.0,6,pearson,0.9406140098930995,0.9406140098930995,1434,0,1,6,train
1,0,Patv_raw,trend_ma6,trend,6.0,10,pearson,0.8993247533299447,0.8993247533299447,1429,0,1,10,train
2,1,Patv_raw,trend_ma6,trend,6.0,10,pearson,0.8991826996226321,0.8991826996226321,1430,0,1,10,train
3,2,Patv_raw,trend_ma6,trend,6.0,10,pearson,0.8988632012190072,0.8988632012190072,1430,0,1,10,train
4,3,Patv_raw,trend_ma6,trend,6.0,10,pearson,0.8995963438778011,0.8995963438778011,1430,0,1,10,train
5,4,Patv_raw,trend_ma6,trend,6.0,10,pearson,0.898767155001371,0.898767155001371,1430,0,1,10,train
6,5,Patv_raw,trend_ma6,trend,6.0,10,pearson,0.8991947051884188,0.8991947051884188,1430,0,1,10,train
7,6,Patv_raw,trend_ma6,trend,6.0,10,pearson,0.8992914885169638,0.8992914885169638,1430,0,1,10,train
8,7,Patv_raw,trend_ma6,trend,6.0,10,pearson,0.8990725246907234,0.8990725246907234,1430,0,1,10,train
1,0,Patv_raw,local_residual_ma6,local_residual,6.0,3,pearson,0.15316011427012677,0.15316011427012677,1361,0,1,3,train
2,1,Patv_raw,local_residual_ma6,local_residual,6.0,3,pearson,0.1570245212620548,0.1570245212620548,1437,0,1,3,train
3,2,Patv_raw,local_residual_ma6,local_residual,6.0,3,pearson,0.15454122369353188,0.15454122369353188,1437,0,1,3,train
4,3,Patv_raw,local_residual_ma6,local_residual,6.0,3,pearson,0.15176622589933356,0.15176622589933356,1437,0,1,3,train
5,4,Patv_raw,local_residual_ma6,local_residual,6.0,3,pearson,0.15412413290805288,0.15412413290805288,1437,0,1,3,train
6,5,Patv_raw,local_residual_ma6,local_residual,6.0,3,pearson,0.15159352044863786,0.15159352044863786,1437,0,1,3,train
7,6,Patv_raw,local_residual_ma6,local_residual,6.0,3,pearson,0.154363054181074,0.154363054181074,1437,0,1,3,train
8,7,Patv_raw,local_residual_ma6,local_residual,6.0,3,pearson,0.15290707037245208,0.15290707037245208,1437,0,1,3,train
1,0,Patv_raw,local_residual_ma6,local_residual,6.0,6,pearson,0.20587736776427365,0.20587736776427365,1358,0,1,6,train
2,1,Patv_raw,local_residual_ma6,local_residual,6.0,6,pearson,0.2093990402937168,0.2093990402937168,1434,0,1,6,train
3,2,Patv_raw,local_residual_ma6,local_residual,6.0,6,pearson,0.21037303395896675,0.21037303395896675,1434,0,1,6,train
4,3,Patv_raw,local_residual_ma6,local_residual,6.0,6,pearson,0.20699525250719844,0.20699525250719844,1434,0,1,6,train
5,4,Patv_raw,local_residual_ma6,local_residual,6.0,6,pearson,0.2071707547403001,0.2071707547403001,1434,0,1,6,train
