TurbID,node_index,signal,representation,component,causal_window,fit_split,valid_count,high_frequency_energy_ratio,high_frequency_cutoff_cycles_per_step,acf_decay_length_steps,first_difference_std
1,0,Patv_raw,raw,raw,,train,1364,0.07109484810820715,0.05555555555555555,21.0,30.35121075263105
2,1,Patv_raw,raw,raw,,train,1440,0.022819640039620687,0.05555555555555555,21.0,29.82619214054415
3,2,Patv_raw,raw,raw,,train,1440,0.02203432928966736,0.05555555555555555,21.0,28.32813379588424
4,3,Patv_raw,raw,raw,,train,1440,0.023808527845321833,0.05555555555555555,21.0,29.534285491300057
5,4,Patv_raw,raw,raw,,train,1440,0.023486125778951667,0.05555555555555555,21.0,29.02120814174207
6,5,Patv_raw,raw,raw,,train,1440,0.024888036268672867,0.05555555555555555,21.0,30.47672250868598
7,6,Patv_raw,raw,raw,,train,1440,0.022031879537188753,0.05555555555555555,21.0,28.807670629865388
8,7,Patv_raw,raw,raw,,train,1440,0.022949309248454584,0.05555555555555555,21.0,29.175403199392658
1,0,Patv_raw,trend_ma6,trend,6.0,train,1439,0.002931909069259852,0.05555555555555555,22.0,8.695246480610093
2,1,Patv_raw,trend_ma6,trend,6.0,train,1440,0.002907106925746434,0.05555555555555555,22.0,8.520894465365453
3,2,Patv_raw,trend_ma6,trend,6.0,train,1440,0.0024220786367815496,0.05555555555555555,22.0,8.484811802703717
4,3,Patv_raw,trend_ma6,trend,6.0,train,1440,0.0033277279323331295,0.05555555555555555,22.0,8.538844936413582
5,4,Patv_raw,trend_ma6,trend,6.0,train,1440,0.0033133197062596236,0.05555555555555555,22.0,8.540374151068432
6,5,Patv_raw,trend_ma6,trend,6.0,train,1440,0.003078523216491613,0.05555555555555555,22.0,8.610709239011928
7,6,Patv_raw,trend_ma6,trend,6.0,train,1440,0.0027070228115756013,0.05555555555555555,22.0,8.325359927960369
8,7,Patv_raw,trend_ma6,trend,6.0,train,1440,0.002945555727879108,0.05555555555555555,22.0,8.486324938690611
1,0,Patv_raw,local_residual_ma6,local_residual,6.0,train,1364,0.541118519909191,0.05555555555555555,4.0,27.29540991919987
2,1,Patv_raw,local_residual_ma6,local_residual,6.0,train,1440,0.5061946857180492,0.05555555555555555,4.0,26.888437953906823
3,2,Patv_raw,local_residual_ma6,local_residual,6.0,train,1440,0.49680648610086575,0.05555555555555555,13.0,25.47671080059613
4,3,Patv_raw,local_residual_ma6,local_residual,6.0,train,1440,0.5050992765102807,0.05555555555555555,13.0,26.64497173827051
5,4,Patv_raw,local_residual_ma6,local_residual,6.0,train,1440,0.5107687926610168,0.05555555555555555,12.0,26.131181946102657
6,5,Patv_raw,local_residual_ma6,local_residual,6.0,train,1440,0.530614247932944,0.05555555555555555,4.0,27.516852791449086
7,6,Patv_raw,local_residual_ma6,local_residual,6.0,train,1440,0.49131326322569435,0.05555555555555555,13.0,26.021745603234194
8,7,Patv_raw,local_residual_ma6,local_residual,6.0,train,1440,0.503656055234585,0.05555555555555555,13.0,26.252781809659357
1,0,Patv_raw,trend_ma18,trend,18.0,train,1439,0.0011608818301992179,0.05555555555555555,22.0,7.0711042063267
2,1,Patv_raw,trend_ma18,trend,18.0,train,1440,0.0010701492683069253,0.05555555555555555,22.0,6.98353315341394
3,2,Patv_raw,trend_ma18,trend,18.0,train,1440,0.0006998740291600746,0.05555555555555555,22.0,6.974469333038725
4,3,Patv_raw,trend_ma18,trend,18.0,train,1440,0.0012446929534113806,0.05555555555555555,22.0,7.001724627380285
5,4,Patv_raw,trend_ma18,trend,18.0,train,1440,0.0011012042682436724,0.05555555555555555,22.0,6.97115544943981
6,5,Patv_raw,trend_ma18,trend,18.0,train,1440,0.0009819758707763613,0.05555555555555555,22.0,6.96968664973982
