TurbID,node_index,signal,representation,component,causal_window,fit_split,valid_count,high_frequency_energy_ratio,high_frequency_cutoff_cycles_per_step,acf_decay_length_steps,first_difference_std
1,0,Patv_raw,raw,raw,,train,29137,0.12400223305174456,0.05555555555555555,26.0,140.77058955385533
2,1,Patv_raw,raw,raw,,train,28959,0.1306486319293864,0.05555555555555555,25.0,130.6325233140934
3,2,Patv_raw,raw,raw,,train,29335,0.1224500178505977,0.05555555555555555,25.0,139.43456106622682
4,3,Patv_raw,raw,raw,,train,29396,0.1298384300908149,0.05555555555555555,25.0,147.20108852192598
5,4,Patv_raw,raw,raw,,train,30536,0.1080923148155077,0.05555555555555555,30.0,136.9747215333252
6,5,Patv_raw,raw,raw,,train,29735,0.11639974579704468,0.05555555555555555,27.0,140.42783186059586
7,6,Patv_raw,raw,raw,,train,29936,0.1215728607867248,0.05555555555555555,29.0,136.2295857838467
8,7,Patv_raw,raw,raw,,train,30104,0.11731652387571005,0.05555555555555555,29.0,140.72493496569865
9,8,Patv_raw,raw,raw,,train,29481,0.1224806809396921,0.05555555555555555,27.0,143.37226748619983
10,9,Patv_raw,raw,raw,,train,29851,0.11588505434697804,0.05555555555555555,31.0,139.39517418477251
11,10,Patv_raw,raw,raw,,train,29700,0.12126219139481305,0.05555555555555555,27.0,141.75714082763182
12,11,Patv_raw,raw,raw,,train,29677,0.11622116472505382,0.05555555555555555,28.0,141.40182224165753
13,12,Patv_raw,raw,raw,,train,29800,0.12429570439186556,0.05555555555555555,28.0,145.4509822694476
14,13,Patv_raw,raw,raw,,train,30542,0.11458101253029011,0.05555555555555555,31.0,139.14451974576187
15,14,Patv_raw,raw,raw,,train,29559,0.12277950637403708,0.05555555555555555,28.0,138.9746741307024
16,15,Patv_raw,raw,raw,,train,29481,0.11471567851562428,0.05555555555555555,29.0,133.43361119473852
17,16,Patv_raw,raw,raw,,train,29777,0.1227114588738304,0.05555555555555555,25.0,139.77746318773058
18,17,Patv_raw,raw,raw,,train,30543,0.10433353492618493,0.05555555555555555,32.0,129.77094135563897
19,18,Patv_raw,raw,raw,,train,29621,0.1337866989718761,0.05555555555555555,23.0,145.64301581374764
20,19,Patv_raw,raw,raw,,train,29033,0.12347125239210137,0.05555555555555555,24.0,136.64727109831256
21,20,Patv_raw,raw,raw,,train,29841,0.12524759702215074,0.05555555555555555,26.0,138.7151135715037
22,21,Patv_raw,raw,raw,,train,28467,0.13051533056744027,0.05555555555555555,26.0,148.27191562026067
23,22,Patv_raw,raw,raw,,train,29195,0.13135770272316868,0.05555555555555555,24.0,146.60880291296408
24,23,Patv_raw,raw,raw,,train,29488,0.1376185577169786,0.05555555555555555,24.0,140.9860656962722
25,24,Patv_raw,raw,raw,,train,29298,0.13191404779341556,0.05555555555555555,24.0,146.96758557174948
26,25,Patv_raw,raw,raw,,train,30943,0.11561283511216967,0.05555555555555555,29.0,142.32967541157137
27,26,Patv_raw,raw,raw,,train,30017,0.134614256194584,0.05555555555555555,26.0,150.30913713403604
28,27,Patv_raw,raw,raw,,train,31069,0.12439513378402467,0.05555555555555555,29.0,147.00317646109033
29,28,Patv_raw,raw,raw,,train,29534,0.13369300107459864,0.05555555555555555,26.0,145.3419673919929
30,29,Patv_raw,raw,raw,,train,30073,0.12995198295348678,0.05555555555555555,27.0,140.4176787083083
31,30,Patv_raw,raw,raw,,train,30171,0.12978595935113868,0.05555555555555555,26.0,145.94099041837157
32,31,Patv_raw,raw,raw,,train,29140,0.13212894145718215,0.05555555555555555,26.0,149.48323895173647
33,32,Patv_raw,raw,raw,,train,29659,0.12592040559192777,0.05555555555555555,26.0,139.93918866494803
34,33,Patv_raw,raw,raw,,train,29059,0.13466506098619987,0.05555555555555555,25.0,149.07174563027925
35,34,Patv_raw,raw,raw,,train,28819,0.13394248834378913,0.05555555555555555,25.0,145.68579840231806
36,35,Patv_raw,raw,raw,,train,29510,0.1308218163783499,0.05555555555555555,27.0,146.11770455390945
37,36,Patv_raw,raw,raw,,train,29533,0.1141419927714307,0.05555555555555555,29.0,138.1618404970347
38,37,Patv_raw,raw,raw,,train,30005,0.12412058832117746,0.05555555555555555,29.0,139.25158639905814
39,38,Patv_raw,raw,raw,,train,29545,0.1368590393566719,0.05555555555555555,27.0,149.72886363701943
40,39,Patv_raw,raw,raw,,train,29947,0.12776734499818104,0.05555555555555555,24.0,141.01356385252572
41,40,Patv_raw,raw,raw,,train,28512,0.1270313613738426,0.05555555555555555,24.0,141.9737380205071
42,41,Patv_raw,raw,raw,,train,29301,0.12749809551845176,0.05555555555555555,24.0,140.1880552922178
43,42,Patv_raw,raw,raw,,train,29753,0.11969015267918535,0.05555555555555555,26.0,136.40481352609115
44,43,Patv_raw,raw,raw,,train,28396,0.12342170588314826,0.05555555555555555,25.0,152.38380951286098
45,44,Patv_raw,raw,raw,,train,29212,0.13670530225511907,0.05555555555555555,24.0,145.03077237565
46,45,Patv_raw,raw,raw,,train,28542,0.13355523293046698,0.05555555555555555,23.0,139.61921519921597
47,46,Patv_raw,raw,raw,,train,28798,0.13428082350391174,0.05555555555555555,24.0,145.10864467066352
48,47,Patv_raw,raw,raw,,train,29555,0.13162380928449208,0.05555555555555555,24.0,140.14194445846925
49,48,Patv_raw,raw,raw,,train,31101,0.11857725665949043,0.05555555555555555,28.0,139.75263078293554
50,49,Patv_raw,raw,raw,,train,29291,0.12956374308352986,0.05555555555555555,26.0,144.21816590831764
51,50,Patv_raw,raw,raw,,train,30083,0.11346572472500498,0.05555555555555555,29.0,135.19279099746592
52,51,Patv_raw,raw,raw,,train,27691,0.13682945149909478,0.05555555555555555,24.0,145.48531835336053
53,52,Patv_raw,raw,raw,,train,30346,0.11804029248636431,0.05555555555555555,29.0,135.7823211007682
54,53,Patv_raw,raw,raw,,train,30243,0.12200919023341786,0.05555555555555555,28.0,137.7692005096933
55,54,Patv_raw,raw,raw,,train,29423,0.12389839535211752,0.05555555555555555,27.0,138.9324771611279
56,55,Patv_raw,raw,raw,,train,28283,0.13384150831925218,0.05555555555555555,25.0,143.618815069466
57,56,Patv_raw,raw,raw,,train,30441,0.12212592253571525,0.05555555555555555,28.0,139.82147247935387
58,57,Patv_raw,raw,raw,,train,31990,0.10984095833803391,0.05555555555555555,31.0,139.86803636984357
59,58,Patv_raw,raw,raw,,train,28560,0.13321586746735756,0.05555555555555555,25.0,142.1209324188377
60,59,Patv_raw,raw,raw,,train,29008,0.14226005827952956,0.05555555555555555,23.0,144.61741308833538
61,60,Patv_raw,raw,raw,,train,28492,0.13685740096136365,0.05555555555555555,23.0,145.94580535485397
62,61,Patv_raw,raw,raw,,train,30820,0.11463211910812368,0.05555555555555555,30.0,134.87196408321842
63,62,Patv_raw,raw,raw,,train,29572,0.12069754006501453,0.05555555555555555,27.0,139.7310432191142
64,63,Patv_raw,raw,raw,,train,28577,0.1271091680850138,0.05555555555555555,24.0,136.78120660642546
65,64,Patv_raw,raw,raw,,train,29216,0.13213935456368497,0.05555555555555555,23.0,139.92220139423537
66,65,Patv_raw,raw,raw,,train,29658,0.12657290365673682,0.05555555555555555,24.0,139.96212442524427
67,66,Patv_raw,raw,raw,,train,30453,0.12574251634766984,0.05555555555555555,25.0,135.62898444296923
68,67,Patv_raw,raw,raw,,train,30091,0.1213474754924001,0.05555555555555555,25.0,134.74821335860253
69,68,Patv_raw,raw,raw,,train,29268,0.12628789738065196,0.05555555555555555,24.0,138.46835497953137
70,69,Patv_raw,raw,raw,,train,29360,0.12369014608498703,0.05555555555555555,24.0,138.25241784964828
71,70,Patv_raw,raw,raw,,train,32019,0.10696846155697799,0.05555555555555555,30.0,137.7774420848108
72,71,Patv_raw,raw,raw,,train,29021,0.13104939200007662,0.05555555555555555,24.0,141.94569542333005
73,72,Patv_raw,raw,raw,,train,30895,0.11258523855090799,0.05555555555555555,28.0,132.53846936299894
74,73,Patv_raw,raw,raw,,train,29713,0.11845923459932164,0.05555555555555555,27.0,138.74988329441808
75,74,Patv_raw,raw,raw,,train,29099,0.12561268569184847,0.05555555555555555,26.0,140.24931396432024
76,75,Patv_raw,raw,raw,,train,29453,0.11571600938399412,0.05555555555555555,28.0,126.5851090268805
77,76,Patv_raw,raw,raw,,train,29305,0.11959834670156913,0.05555555555555555,26.0,132.46235838293666
78,77,Patv_raw,raw,raw,,train,28411,0.13114218453097032,0.05555555555555555,24.0,135.21842320846298
79,78,Patv_raw,raw,raw,,train,28399,0.12954770542073793,0.05555555555555555,25.0,136.09288295799294
80,79,Patv_raw,raw,raw,,train,29395,0.12128800783667988,0.05555555555555555,28.0,135.542241810977
81,80,Patv_raw,raw,raw,,train,29368,0.11678590147700307,0.05555555555555555,30.0,132.27730556699993
82,81,Patv_raw,raw,raw,,train,28024,0.13013132967216662,0.05555555555555555,26.0,135.94901837203255
83,82,Patv_raw,raw,raw,,train,28687,0.11201317660571442,0.05555555555555555,30.0,139.62342749493763
84,83,Patv_raw,raw,raw,,train,32127,0.11073584466203108,0.05555555555555555,30.0,131.8624637030492
85,84,Patv_raw,raw,raw,,train,28514,0.1251733777849383,0.05555555555555555,27.0,131.48355053863594
86,85,Patv_raw,raw,raw,,train,29675,0.12565862123840466,0.05555555555555555,26.0,135.93205979991146
87,86,Patv_raw,raw,raw,,train,31877,0.11812755212324652,0.05555555555555555,28.0,132.74029958418816
88,87,Patv_raw,raw,raw,,train,28834,0.1477564898773934,0.05555555555555555,23.0,151.42416142801943
89,88,Patv_raw,raw,raw,,train,29227,0.12024880977525232,0.05555555555555555,26.0,132.92050778052572
90,89,Patv_raw,raw,raw,,train,29488,0.12561376564994084,0.05555555555555555,23.0,136.27873013793263
91,90,Patv_raw,raw,raw,,train,29272,0.13098061054765064,0.05555555555555555,24.0,136.85932184954603
92,91,Patv_raw,raw,raw,,train,28380,0.138850466804475,0.05555555555555555,23.0,126.90611845442504
93,92,Patv_raw,raw,raw,,train,27380,0.14169016086379205,0.05555555555555555,24.0,123.2224615894251
94,93,Patv_raw,raw,raw,,train,28730,0.13588037042892184,0.05555555555555555,24.0,117.59605807856197
