family,variant_id,display_name,run_id,seed,model_name,status,reference_only,run_dir,metrics_source_dir
F,F0,Independent dual branches,f0_smoke_v1,2026,STMGPrompt_ComponentAblation,completed,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f0_smoke_v1\seed_2026\STMGPrompt_ComponentAblation,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f0_smoke_v1\seed_2026\STMGPrompt_ComponentAblation
F,F1,Element-wise add,f1_smoke_v1,2026,STMGPrompt_ComponentAblation,completed,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f1_smoke_v1\seed_2026\STMGPrompt_ComponentAblation,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f1_smoke_v1\seed_2026\STMGPrompt_ComponentAblation
F,F2,Concat + MLP,f2_smoke_v1,2026,STMGPrompt_ComponentAblation,completed,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f2_smoke_v1\seed_2026\STMGPrompt_ComponentAblation,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f2_smoke_v1\seed_2026\STMGPrompt_ComponentAblation
F,F3,Unified gated fusion,f3_empirical_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f3_empirical_v1,
F,F3,Unified gated fusion,f3_smoke_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f3_smoke_v1,
F,F4,Macro-to-Fine only,f4_smoke_v1,2026,STMGPrompt_ComponentAblation,completed,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f4_smoke_v1\seed_2026\STMGPrompt_ComponentAblation,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f4_smoke_v1\seed_2026\STMGPrompt_ComponentAblation
F,F5,Fine-to-Coarse only,f5_smoke_v1,2026,STMGPrompt_ComponentAblation,completed,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f5_smoke_v1\seed_2026\STMGPrompt_ComponentAblation,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f5_smoke_v1\seed_2026\STMGPrompt_ComponentAblation
F,F6,"Bidirectional Cross-Fusion, shared projections",f6_smoke_v1,2026,STMGPrompt_ComponentAblation,reference-only,True,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f6_smoke_v1,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A7\STMGPrompt_ComponentAblation
F,F7,"Bidirectional Cross-Fusion, independent projections",f7_smoke_v1,2026,STMGPrompt_ComponentAblation,reference-only,True,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f7_smoke_v1,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026
F,F8,Mean-pooling Macro Prompt,f8_smoke_v1,2026,STMGPrompt_ComponentAblation,reference-only,True,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\F\f8_smoke_v1,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A4\STMGPrompt_ComponentAblation
G,G0,Matched Micro/Fine + Macro/Coarse,g0_smoke_v1,2026,STMGPrompt_ComponentAblation,reference-only,True,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\G\g0_smoke_v1,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026
G,G1,Shared Micro graph,g1_empirical_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\G\g1_empirical_v1,
G,G1,Shared Micro graph,g1_smoke_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\G\g1_smoke_v1,
G,G2,Shared Macro graph,g2_empirical_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\G\g2_empirical_v1,
G,G2,Shared Macro graph,g2_smoke_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\G\g2_smoke_v1,
G,G3,Swapped Micro/Macro graphs,g3_empirical_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\G\g3_empirical_v1,
G,G3,Swapped Micro/Macro graphs,g3_smoke_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\G\g3_smoke_v1,
