family,variant_id,display_name,run_id,horizon,status,seed_count,seeds,Score_mean,Score_std,Score_seed_count,Score_single_seed_values,MAE_mean,MAE_std,MAE_seed_count,MAE_single_seed_values,RMSE_mean,RMSE_std,RMSE_seed_count,RMSE_single_seed_values,R2_mean,R2_std,R2_seed_count,R2_single_seed_values
D,D0,No diffusion state,d0_smoke_v1,3,completed,1,[2026],5.874655166785839,0.0,1,"{""2026"": 5.874655166785839}",42.298136966329224,0.0,1,"{""2026"": 42.298136966329224}",52.39735969174857,0.0,1,"{""2026"": 52.39735969174857}",-0.0869499920827217,0.0,1,"{""2026"": -0.0869499920827217}"
D,D0,No diffusion state,d0_smoke_v1,6,completed,1,[2026],7.45235463227779,0.0,1,"{""2026"": 7.45235463227779}",53.22476302993881,0.0,1,"{""2026"": 53.22476302993881}",65.65821634117938,0.0,1,"{""2026"": 65.65821634117938}",-0.5585047561699383,0.0,1,"{""2026"": -0.5585047561699383}"
D,D0,No diffusion state,d0_smoke_v1,10,completed,1,[2026],9.424233652708493,0.0,1,"{""2026"": 9.424233652708493}",67.32771767332963,0.0,1,"{""2026"": 67.32771767332963}",80.1152250200451,0.0,1,"{""2026"": 80.1152250200451}",-0.9742145441387033,0.0,1,"{""2026"": -0.9742145441387033}"
D,D1,Forward first-order diffusion,d1_smoke_v1,3,completed,1,[2026],4.014648533930812,0.0,1,"{""2026"": 4.014648533930812}",28.076036050286092,0.0,1,"{""2026"": 28.076036050286092}",33.83840582965117,0.0,1,"{""2026"": 33.83840582965117}",0.5466740855340957,0.0,1,"{""2026"": 0.5466740855340957}"
D,D1,Forward first-order diffusion,d1_smoke_v1,6,completed,1,[2026],3.98809982613377,0.0,1,"{""2026"": 3.98809982613377}",27.474953818154503,0.0,1,"{""2026"": 27.474953818154503}",34.99959784554243,0.0,1,"{""2026"": 34.99959784554243}",0.5571505810004668,0.0,1,"{""2026"": 0.5571505810004668}"
D,D1,Forward first-order diffusion,d1_smoke_v1,10,completed,1,[2026],4.733659045698769,0.0,1,"{""2026"": 4.733659045698769}",32.38742078198548,0.0,1,"{""2026"": 32.38742078198548}",40.91158740577298,0.0,1,"{""2026"": 40.91158740577298}",0.48517823989200226,0.0,1,"{""2026"": 0.48517823989200226}"
D,D2,Transpose-direction first-order diffusion,d2_smoke_v1,3,completed,1,[2026],4.014602316325471,0.0,1,"{""2026"": 4.014602316325471}",28.076054102937942,0.0,1,"{""2026"": 28.076054102937942}",33.83751962817908,0.0,1,"{""2026"": 33.83751962817908}",0.5466978297278473,0.0,1,"{""2026"": 0.5466978297278473}"
D,D2,Transpose-direction first-order diffusion,d2_smoke_v1,6,completed,1,[2026],3.9878477434028823,0.0,1,"{""2026"": 3.9878477434028823}",27.47305959421438,0.0,1,"{""2026"": 27.47305959421438}",34.99703973474395,0.0,1,"{""2026"": 34.99703973474395}",0.5572153141145849,0.0,1,"{""2026"": 0.5572153141145849}"
D,D2,Transpose-direction first-order diffusion,d2_smoke_v1,10,completed,1,[2026],4.733400213379329,0.0,1,"{""2026"": 4.733400213379329}",32.385157629037,0.0,1,"{""2026"": 32.385157629037}",40.90822121150732,0.0,1,"{""2026"": 40.90822121150732}",0.4852629551950066,0.0,1,"{""2026"": 0.4852629551950066}"
D,D3,Bidirectional first-order diffusion,d3_smoke_v1,3,completed,1,[2026],12.25264915711115,0.0,1,"{""2026"": 12.25264915711115}",89.92543910926497,0.0,1,"{""2026"": 89.92543910926497}",102.45913469387067,0.0,1,"{""2026"": 102.45913469387067}",-3.156158719617263,0.0,1,"{""2026"": -3.156158719617263}"
