batch,layer,macro_attn_entropy,fine_attn_entropy,fusion_gate_mean,fusion_gate_std,macro_prompt_norm_mean,h_fine_spatial_delta_norm,h_coarse_spatial_delta_norm
0,,0.8791592717170715,3.026820182800293,0.5265316963195801,0.3408375382423401,,,
0,0,0.8791592717170715,3.026820182800293,0.5265316963195801,0.3408375382423401,7.284560203552246,5.643792152404785,6.3354339599609375
1,,0.8056034445762634,2.956907033920288,0.519436240196228,0.33659636974334717,,,
1,0,0.8056034445762634,2.956907033920288,0.519436240196228,0.33659636974334717,7.2573323249816895,5.682518482208252,6.38174295425415
2,,0.8247982263565063,3.1061742305755615,0.5159623026847839,0.33459213376045227,,,
2,0,0.8247982263565063,3.1061742305755615,0.5159623026847839,0.33459213376045227,7.256044387817383,5.651757717132568,6.393472671508789
3,,0.8388668894767761,3.1133973598480225,0.5220879316329956,0.3369281589984894,,,
3,0,0.8388668894767761,3.1133973598480225,0.5220879316329956,0.3369281589984894,7.251946449279785,5.610101222991943,6.4065680503845215
4,,0.9067986011505127,3.1030774116516113,0.5230094790458679,0.340633749961853,,,
4,0,0.9067986011505127,3.1030774116516113,0.5230094790458679,0.340633749961853,7.243781089782715,5.600955009460449,6.467688083648682
5,,0.8889463543891907,2.985208749771118,0.5187780857086182,0.33098143339157104,,,
5,0,0.8889463543891907,2.985208749771118,0.5187780857086182,0.33098143339157104,7.260164260864258,5.594900608062744,6.417272567749023
6,,0.8809190988540649,2.8935673236846924,0.517537534236908,0.32571303844451904,,,
6,0,0.8809190988540649,2.8935673236846924,0.517537534236908,0.32571303844451904,7.291409492492676,5.606329441070557,6.362325668334961
7,,0.8721747994422913,3.0565967559814453,0.528360903263092,0.33595505356788635,,,
7,0,0.8721747994422913,3.0565967559814453,0.528360903263092,0.33595505356788635,7.289902210235596,5.672901153564453,6.495457172393799
