batch,layer,macro_attn_entropy,fine_attn_entropy,fusion_gate_mean,fusion_gate_std,macro_prompt_norm_mean,h_fine_spatial_delta_norm,h_coarse_spatial_delta_norm
0,,0.904711902141571,2.829852342605591,0.48788729310035706,0.4143046736717224,,,
0,0,0.904711902141571,2.829852342605591,0.48788729310035706,0.4143046736717224,6.075024127960205,6.141332626342773,6.02039098739624
1,,0.8450000286102295,2.7504477500915527,0.49316245317459106,0.40749815106391907,,,
1,0,0.8450000286102295,2.7504477500915527,0.49316245317459106,0.40749815106391907,6.090228080749512,6.132655620574951,5.976442813873291
2,,0.8330885767936707,2.882598876953125,0.4920896291732788,0.40978339314460754,,,
2,0,0.8330885767936707,2.882598876953125,0.4920896291732788,0.40978339314460754,6.093481063842773,6.086204528808594,5.974071979522705
3,,0.8759394288063049,3.0123753547668457,0.4925903379917145,0.4087289869785309,,,
3,0,0.8759394288063049,3.0123753547668457,0.4925903379917145,0.4087289869785309,6.096391677856445,6.038644790649414,5.847402572631836
4,,0.888241171836853,2.942300319671631,0.4910706579685211,0.4109230637550354,,,
4,0,0.888241171836853,2.942300319671631,0.4910706579685211,0.4109230637550354,6.1319098472595215,5.982531547546387,5.7884392738342285
5,,0.8444953560829163,2.549757242202759,0.49171480536460876,0.4064881205558777,,,
5,0,0.8444953560829163,2.549757242202759,0.49171480536460876,0.4064881205558777,6.152655601501465,5.988727569580078,5.769385814666748
6,,0.7103520631790161,2.294321060180664,0.4883686602115631,0.4013913571834564,,,
6,0,0.7103520631790161,2.294321060180664,0.4883686602115631,0.4013913571834564,6.167221546173096,6.0138654708862305,5.955719470977783
7,,0.6904234290122986,2.886749029159546,0.49049583077430725,0.4133616089820862,,,
7,0,0.6904234290122986,2.886749029159546,0.49049583077430725,0.4133616089820862,6.173975467681885,6.053889274597168,6.002996921539307
