step,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,bias_kw,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied,negative_prediction_ratio_raw,above_capacity_ratio_raw
1,34.613,41.050,0.284,0.039,0.039,4.629,4.629,4.629,4.667,23,24,0.958,23,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
2,42.615,54.623,-0.144,0.048,0.046,5.710,5.710,5.710,-32.216,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
3,44.487,55.258,-0.222,0.050,0.048,5.961,5.961,5.961,-35.613,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
4,62.017,73.999,-1.034,0.070,0.067,8.310,8.310,8.310,-61.967,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
5,45.131,57.822,-0.257,0.050,0.048,6.048,6.048,6.048,-42.690,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
6,69.922,81.331,-1.390,0.077,0.074,9.370,9.370,9.370,-69.624,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
7,80.732,90.701,-2.253,0.089,0.085,10.818,10.818,10.818,-80.732,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
8,71.864,82.634,-1.465,0.078,0.074,9.630,9.630,9.630,-71.864,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
9,98.961,107.144,-3.677,0.108,0.102,13.261,13.261,13.261,-98.961,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
10,75.225,83.191,-1.914,0.080,0.077,10.080,10.080,10.080,-75.225,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
