variant,display_name,trainable,canonical_reference,metrics_source,renumbered_from,horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
A0,Canonical Full,False,full_fixed_dual_keep_msmgdwu_seed2026,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h10.json,,10,105.41287395398908,159.3411440391301,0.8543832008369954,0.497891431126345,1.4615132037172787,11.706390557819958,11.706390557819958,11.706390557819958,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A0,Canonical Full,False,full_fixed_dual_keep_msmgdwu_seed2026,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h3.json,,3,76.33942955875908,117.75677038705155,0.9204713645191344,0.42338150983365697,0.8495450219044672,7.783623200734026,7.783623200734026,7.783623200734026,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A0,Canonical Full,False,full_fixed_dual_keep_msmgdwu_seed2026,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h6.json,,6,90.46171513146376,138.8132223588933,0.8894869334438604,0.46102307575990753,1.1233515364667692,9.684446283949155,9.684446283949155,9.684446283949155,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A6,Fine-to-Coarse Only Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6\STMGPrompt_ComponentAblation\metrics_eval_h10.json,,10,107.65121430314888,158.70804995143789,0.855538031151299,0.5637351370300784,1.304245131602077,11.751914430505705,11.751914430505705,11.751914430505705,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A6,Fine-to-Coarse Only Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6\STMGPrompt_ComponentAblation\metrics_eval_h3.json,,3,81.62166725806354,118.72547751871824,0.9191575235482458,0.5618307640156704,0.7306942611093992,8.273562030387515,8.273562030387515,8.273562030387515,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A6,Fine-to-Coarse Only Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6\STMGPrompt_ComponentAblation\metrics_eval_h6.json,,6,93.98617261599433,138.76030201491864,0.8895711800969316,0.5567494013199078,0.9758797705811031,9.910630305315163,9.910630305315163,9.910630305315163,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A6-C1,Early-History Macro Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6-C1\STMGPrompt_ComponentAblation\metrics_eval_h10.json,,10,109.0069387460383,160.7691592719296,0.8517614699442431,0.5760848316297179,1.2977760168860615,11.957278103768038,11.957278103768038,11.957278103768038,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A6-C1,Early-History Macro Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6-C1\STMGPrompt_ComponentAblation\metrics_eval_h3.json,,3,82.20814262394342,120.16296134319332,0.9171880513363239,0.5731407101517745,0.719136619265883,8.390117184798424,8.390117184798424,8.390117184798424,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A6-C1,Early-History Macro Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6-C1\STMGPrompt_ComponentAblation\metrics_eval_h6.json,,6,95.01996914308968,140.4145631095156,0.886922482794376,0.5671190739811856,0.9775617614059195,10.113822098255651,10.113822098255651,10.113822098255651,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A6-C3,Shared-Projection Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6-C3\STMGPrompt_ComponentAblation\metrics_eval_h10.json,,10,111.33556602248989,162.03500249420836,0.8494179175663651,0.6299396056598352,1.235531016369351,12.122797466479286,12.122797466479286,12.122797466479286,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A6-C3,Shared-Projection Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6-C3\STMGPrompt_ComponentAblation\metrics_eval_h3.json,,3,88.2153250062636,124.10425344973805,0.911666570580872,0.715442163281787,0.627571491545133,8.865939135045293,8.865939135045293,8.865939135045293,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A6-C3,Shared-Projection Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6-C3\STMGPrompt_ComponentAblation\metrics_eval_h6.json,,6,98.79487221977995,142.75014566646448,0.883129452537973,0.6673555559168862,0.8299186885807295,10.273207336648829,10.273207336648829,10.273207336648829,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
