epoch,train_loss,val_loss,val_MAE_H3,val_RMSE_H3,val_R2_H3,val_Score_H3,val_MAE_H6,val_RMSE_H6,val_R2_H6,val_Score_H6,val_MAE_H10,val_RMSE_H10,val_R2_H10,val_Score_H10,val_score_primary,is_best_epoch,bad_epochs,learning_rate,epoch_time_sec,total_loss,granularity_loss_h3,granularity_loss_h6,granularity_loss_h10,granularity_weight_h3,granularity_weight_h6,granularity_weight_h10,site_weight_mean,site_weight_max,site_weight_min,skipped_train_batches_epoch,skipped_val_batches_epoch,skipped_train_batches_total,skipped_val_batches_total,skipped_batches_total_run,val_official_score_h10,val_official_score_h3,val_official_score_h6
1,0.4975236116420655,0.2907262138031386,123.01996545636636,176.42173360633623,0.763787281669292,13.881187870422641,133.5924384774437,196.75302334492545,0.7056352260481182,15.359846357901532,145.87443177356994,217.98843686315047,0.6379236726680211,17.011941120484984,17.011941120484984,True,0,0.001,95.46021630000178,0.4975236116420655,,,,,,,,,,9,20,9,20,29,17.011941120484984,13.881187870422641,15.359846357901532
2,0.42841274128073736,0.2706190031480613,116.25161534289612,166.62772383533786,0.7892858840400163,12.140083930858871,128.822599038297,190.652416439171,0.7236066200281526,13.881673837481895,142.98267429826345,214.96627302091446,0.6478936389790764,15.737277423805683,15.737277423805683,True,0,0.001,94.65960099999938,0.42841274128073736,,,,,,,,,,9,20,18,40,58,15.737277423805683,12.140083930858871,13.881673837481895
3,0.4142120022858892,0.26453020303450486,112.05806603699995,161.80430749545607,0.8013085107647853,11.601315441544374,125.25309061981376,186.49640804287273,0.7355254104492851,13.400963170805449,139.91526680340002,211.29032442226793,0.6598327986650843,15.351188409003157,15.351188409003157,True,0,0.001,94.76567839999916,0.4142120022858892,,,,,,,,,,9,20,27,60,87,15.351188409003157,11.601315441544374,13.400963170805449
4,0.4024497784319378,0.2598140311239315,109.5372674247109,155.83803824228664,0.8156912083912039,11.032067414447468,122.90514301704542,181.64556936954355,0.7491046415841882,12.79265404381676,137.86453380354502,207.7296417833042,0.6712012472401736,14.769424855274165,14.769424855274165,True,0,0.001,94.5916389999984,0.4024497784319378,,,,,,,,,,9,20,36,80,116,14.769424855274165,11.032067414447468,12.79265404381676
5,0.39476528884399503,0.2584383044336817,108.63339226696677,154.1734841568514,0.8196074984809556,10.962305898677146,122.74231801810554,181.02266574209574,0.7508224447048697,12.783190723197631,137.84526046108746,207.60303883921418,0.6716019046022079,14.757490258310892,14.757490258310892,True,0,0.001,94.71108209999875,0.39476528884399503,,,,,,,,,,9,20,45,100,145,14.757490258310892,10.962305898677146,12.783190723197631
6,0.38793975505090894,0.25515383282869025,102.92765445220765,145.9203199597664,0.8384039825586485,10.388129391084485,118.497970819046,174.61119384927602,0.7681606385565669,12.316072124770077,134.30961590710322,201.85087761254925,0.6895479721023916,14.347979528068358,14.347979528068358,True,0,0.001,94.488530300001,0.38793975505090894,,,,,,,,,,9,20,54,120,174,14.347979528068358,10.388129391084485,12.316072124770077
7,0.3811806146587644,0.25444484790190686,99.81539299383445,147.77038624143395,0.8342803819188019,10.117700866071042,117.17146903089267,178.03339514058402,0.7589839544135932,12.240286120640961,134.7841069054357,206.41626042509083,0.6753457977174551,14.43951541323201,14.43951541323201,False,1,0.001,96.32308740000008,0.3811806146587644,,,,,,,,,,9,20,63,140,203,14.43951541323201,10.117700866071042,12.240286120640961
8,0.3755788231179828,0.25544788423246645,98.46644218519309,144.608028868918,0.8412974446914951,9.991918090135455,116.09782853721421,175.33889741645044,0.76622420043627,12.121545418492797,133.85683468904858,204.13459500419674,0.6824833966189903,14.316894138431719,14.316894138431719,True,1,0.001,102.26016060000256,0.3755788231179828,,,,,,,,,,9,20,72,160,232,14.316894138431719,9.991918090135455,12.121545418492797
9,0.37039659392266044,0.26017223803207207,95.56049400562743,142.23508467508077,0.8464631670374944,9.714692921452023,114.47138727019117,174.37045893001942,0.7687994676612561,11.945514147846142,133.2028169026517,203.9951249533933,0.6829171195633581,14.22708907053719,14.22708907053719,True,0,0.001,100.96757799999978,0.37039659392266044,,,,,,,,,,9,20,81,180,261,14.22708907053719,9.714692921452023,11.945514147846142
10,0.3663559317588806,0.24949306878146574,91.69845950075796,140.02232170500844,0.8512031780249139,9.378996753392428,110.77946775017318,171.499276917713,0.7763506732634617,11.661390579208101,129.5977005349375,200.2707671067592,0.6943894519433471,13.989129084162645,13.989129084162645,True,0,0.001,108.57301519999965,0.3663559317588806,,,,,,,,,,9,20,90,200,290,13.989129084162645,9.378996753392428,11.661390579208101
