variant,display_name,trainable,canonical_reference,metrics_source,horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
A0,Canonical Full,False,full_fixed_dual_keep_msmgdwu_seed2026,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h10.json,10,105.41287395398908,159.3411440391301,0.8543832008369954,0.497891431126345,1.4615132037172787,11.706390557819958,11.706390557819958,11.706390557819958,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A0,Canonical Full,False,full_fixed_dual_keep_msmgdwu_seed2026,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h3.json,3,76.33942955875908,117.75677038705155,0.9204713645191344,0.42338150983365697,0.8495450219044672,7.783623200734026,7.783623200734026,7.783623200734026,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A0,Canonical Full,False,full_fixed_dual_keep_msmgdwu_seed2026,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h6.json,6,90.46171513146376,138.8132223588933,0.8894869334438604,0.46102307575990753,1.1233515364667692,9.684446283949155,9.684446283949155,9.684446283949155,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A1,w/o Spatial Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A1\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,111.97175038372599,166.57408957517086,0.8408632387515791,0.5396659894868834,1.458344601978164,11.992751897629923,11.992751897629923,11.992751897629923,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A1,w/o Spatial Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A1\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,85.87967738074794,127.56604924494697,0.9066698487092509,0.523549465160646,0.7805081790409986,8.552596687922987,8.552596687922987,8.552596687922987,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A1,w/o Spatial Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A1\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,98.38567411534402,147.45863539644495,0.8752925556114803,0.5234469867990599,1.0622235558277024,10.149118927576428,10.149118927576428,10.149118927576428,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A2,w/o Adaptive Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A2\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,111.83473093814827,166.0972751551815,0.8417729853058576,0.5214022405952881,1.5435162818288308,12.08672365933792,12.08672365933792,12.08672365933792,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A2,w/o Adaptive Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A2\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,82.41692721724712,122.34237818448734,0.9141568598897714,0.4460147577386105,0.9713930642794354,8.392516839326268,8.392516839326268,8.392516839326268,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A2,w/o Adaptive Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A2\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,96.78146369258228,144.1948793398465,0.8807518543943123,0.4850660309495581,1.2314842105588135,10.185922283389775,10.185922283389775,10.185922283389775,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A3,w/o Diffusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A3\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,110.56446379556643,162.67658914404117,0.84822308038268,0.48681009976734246,2.2098719352261154,12.804321088853088,12.804321088853088,12.804321088853088,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A3,w/o Diffusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A3\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,80.4141367030879,120.2315697228554,0.9170934595330679,0.3933422351516362,1.5520386170258946,8.667672368489564,8.667672368489564,8.667672368489564,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A3,w/o Diffusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A3\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,95.436681716849,141.6010779516188,0.8850033795964893,0.44405763938145143,1.884787515811909,10.750682489077263,10.750682489077263,10.750682489077263,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A4,w/o Macro Prompt,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A4\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,106.85513923774127,155.79358694406852,0.8607950202443452,0.503077781582503,1.8446451253849392,12.241711813142132,12.241711813142132,12.241711813142132,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A4,w/o Macro Prompt,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A4\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,77.87485518800004,115.84881691443937,0.9230276112177273,0.43238068378553307,1.0410549105220888,8.135626782529247,8.135626782529247,8.135626782529247,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A4,w/o Macro Prompt,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A4\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,91.60980544881365,135.3639374486995,0.8949108412636356,0.46767957822753703,1.4136964326251737,10.078057321299918,10.078057321299918,10.078057321299918,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A5,w/o Reverse Cross,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A5\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,106.26423801436576,158.75437434578197,0.8554536864709096,0.48782274320541164,1.7585376056710604,11.940449187212803,11.940449187212803,11.940449187212803,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A5,w/o Reverse Cross,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A5\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,75.14833814505431,114.61023375711613,0.9246646942129035,0.41388488211896546,0.9593846304989601,7.763087281597352,7.763087281597352,7.763087281597352,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A5,w/o Reverse Cross,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A5\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,90.29106223600903,136.92649801757682,0.8924706649597038,0.44889003689792795,1.3328778824648693,9.818081467340061,9.818081467340061,9.818081467340061,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A6,w/o Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,105.39178864949379,156.36308074169133,0.8597754498106803,0.5203352472263688,1.7621600387122587,12.052904670358465,12.052904670358465,12.052904670358465,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A6,w/o Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,75.54447604187044,113.90869467724215,0.9255841393210724,0.4721106735100622,0.9573655926216438,7.9003595342782305,7.9003595342782305,7.9003595342782305,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A6,w/o Cross Fusion,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A6\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,89.68523478766834,135.2960259579055,0.8950162603483589,0.4931566380926728,1.3183067939324653,9.850251014208862,9.850251014208862,9.850251014208862,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A7,w/o ST Prompt,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A7\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,108.27490736079392,159.48024756123124,0.8541288452988653,0.4967879712131338,1.817021495488669,12.089548818837539,12.089548818837539,12.089548818837539,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A7,w/o ST Prompt,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A7\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,75.36057783831971,114.4048901484207,0.9249344042522771,0.40026295004305534,0.9422329410901126,7.651403323239885,7.651403323239885,7.651403323239885,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A7,w/o ST Prompt,True,,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A7\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,91.48928061238958,137.15701110492068,0.8921083131358195,0.44997168753269323,1.3727402954943364,9.83189314492385,9.83189314492385,9.83189314492385,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
