variant,name,status,run_dir,MAE,MAPE,R2,RMSE,SMAPE,Score,horizon,num_valid_points,official_align_score,physical_clip_applied,score,score_compute_unit,score_lower_is_better,total_target_count,valid_target_count,valid_target_ratio
A0,Full P1,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A0\STMGPrompt_ComponentAblation,78.468,0.859,0.918,119.242,0.473,7.957,3,1256027,7.957,True,7.957,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A0,Full P1,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A0\STMGPrompt_ComponentAblation,92.690,1.136,0.886,140.741,0.494,9.751,6,2512061,9.751,True,9.751,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A0,Full P1,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A0\STMGPrompt_ComponentAblation,107.571,1.516,0.851,161.109,0.520,11.739,10,4186848,11.739,True,11.739,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A1,w/o VADSP,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A1\STMGPrompt_ComponentAblation,76.339,0.850,0.920,117.757,0.423,7.784,3,1256027,7.784,True,7.784,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A1,w/o VADSP,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A1\STMGPrompt_ComponentAblation,90.462,1.123,0.889,138.813,0.461,9.684,6,2512061,9.684,True,9.684,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A1,w/o VADSP,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A1\STMGPrompt_ComponentAblation,105.413,1.462,0.854,159.341,0.498,11.706,10,4186848,11.706,True,11.706,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A2,w/o Spatial Graph,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A2\STMGPrompt_ComponentAblation,83.884,0.924,0.910,125.549,0.459,8.547,3,1256027,8.547,True,8.547,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A2,w/o Spatial Graph,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A2\STMGPrompt_ComponentAblation,96.442,1.326,0.881,143.977,0.477,10.436,6,2512061,10.436,True,10.436,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A2,w/o Spatial Graph,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A2\STMGPrompt_ComponentAblation,111.289,1.789,0.846,164.055,0.509,12.464,10,4186848,12.464,True,12.464,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A3,w/o Adaptive Graph,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A3\STMGPrompt_ComponentAblation,80.638,1.288,0.915,121.545,0.410,8.476,3,1256027,8.476,True,8.476,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A3,w/o Adaptive Graph,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A3\STMGPrompt_ComponentAblation,95.084,1.611,0.884,142.204,0.453,10.436,6,2512061,10.436,True,10.436,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A3,w/o Adaptive Graph,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A3\STMGPrompt_ComponentAblation,110.365,2.016,0.849,162.141,0.495,12.450,10,4186848,12.450,True,12.450,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A4,w/o Trend Prior,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A4\STMGPrompt_ComponentAblation,84.151,0.702,0.914,122.193,0.603,8.528,3,1256027,8.528,True,8.528,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A4,w/o Trend Prior,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A4\STMGPrompt_ComponentAblation,94.683,0.876,0.887,140.673,0.590,9.957,6,2512061,9.957,True,9.957,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A4,w/o Trend Prior,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A4\STMGPrompt_ComponentAblation,106.584,1.152,0.854,159.430,0.582,11.605,10,4186848,11.605,True,11.605,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A5,w/o Diffusion,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A5\STMGPrompt_ComponentAblation,79.511,1.190,0.917,120.557,0.423,8.490,3,1256027,8.490,True,8.490,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A5,w/o Diffusion,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A5\STMGPrompt_ComponentAblation,93.379,1.491,0.886,141.147,0.458,10.413,6,2512061,10.413,True,10.413,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A5,w/o Diffusion,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A5\STMGPrompt_ComponentAblation,108.411,1.853,0.850,161.664,0.496,12.452,10,4186848,12.452,True,12.452,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A6,w/o Macro Prompt,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A6\STMGPrompt_ComponentAblation,82.030,0.818,0.916,120.965,0.481,8.288,3,1256027,8.288,True,8.288,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A6,w/o Macro Prompt,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A6\STMGPrompt_ComponentAblation,95.120,1.026,0.887,140.579,0.519,9.942,6,2512061,9.942,True,9.942,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
