epoch,raw_loss_h3,ema_loss_h3,initial_loss_h3,difficulty_level_h3,relative_training_rate_h3,granularity_loss_h3,granularity_weight_h3,weighted_contribution_h3,raw_loss_h6,ema_loss_h6,initial_loss_h6,difficulty_level_h6,relative_training_rate_h6,granularity_loss_h6,granularity_weight_h6,weighted_contribution_h6,raw_loss_h10,ema_loss_h10,initial_loss_h10,difficulty_level_h10,relative_training_rate_h10,granularity_loss_h10,granularity_weight_h10,weighted_contribution_h10,site_weight_mean,site_weight_min,site_weight_max,total_loss
1,0.14441114271941938,1.0,1.0,1.0,1.0,0.14441114271941938,1.0,0.14441114271941938,0.16591684564805487,1.0,1.0,1.0,1.0,0.16591684564805487,1.0,0.16591684564805487,0.19340430618751617,1.0,1.0,1.0,1.0,0.19340430618751617,1.0,0.19340430618751617,1.0,1.0,1.0,0.20822163655289583
2,0.095431739705031,1.0,1.0,1.0,1.0,0.095431739705031,1.0,0.095431739705031,0.12076428373072422,1.0,1.0,1.0,1.0,0.12076428373072422,1.0,0.12076428373072422,0.15004941390915996,1.0,1.0,1.0,1.0,0.15004941390915996,1.0,0.15004941390915996,1.0,1.0,1.0,0.15244415303958314
3,0.08725518719003532,1.0,1.0,1.0,1.0,0.08725518719003532,1.0,0.08725518719003532,0.11286865495608754,1.0,1.0,1.0,1.0,0.11286865495608754,1.0,0.11286865495608754,0.14236734601713363,1.0,1.0,1.0,1.0,0.14236734601713363,1.0,0.14236734601713363,1.0,1.0,1.0,0.14281316704693295
4,0.08225763163141657,1.0,1.0,1.0,1.0,0.08225763163141657,1.0,0.08225763163141657,0.10781488887537895,1.0,1.0,1.0,1.0,0.10781488887537895,1.0,0.10781488887537895,0.13746916221543437,1.0,1.0,1.0,1.0,0.13746916221543437,1.0,0.13746916221543437,1.0,1.0,1.0,0.13678680763890347
5,0.07905938606441877,1.0,1.0,1.0,1.0,0.07905938606441877,1.0,0.07905938606441877,0.10443559717654326,1.0,1.0,1.0,1.0,0.10443559717654326,1.0,0.10443559717654326,0.1340356315796574,1.0,1.0,1.0,1.0,0.1340356315796574,1.0,0.1340356315796574,1.0,1.0,1.0,0.1327723929835927
6,0.07529045156599802,1.0,1.0,1.0,1.0,0.07529045156599802,1.0,0.07529045156599802,0.10048340517653233,1.0,1.0,1.0,1.0,0.10048340517653233,1.0,0.10048340517653233,0.12989760421748672,1.0,1.0,1.0,1.0,0.12989760421748672,1.0,0.12989760421748672,1.0,1.0,1.0,0.12792377098507823
7,0.07236833759454306,1.0,1.0,1.0,1.0,0.07236833759454306,1.0,0.07236833759454306,0.09721447037238824,1.0,1.0,1.0,1.0,0.09721447037238824,1.0,0.09721447037238824,0.1262281865679792,1.0,1.0,1.0,1.0,0.1262281865679792,1.0,0.1262281865679792,1.0,1.0,1.0,0.12384509632275217
8,0.07040196472253098,1.0,1.0,1.0,1.0,0.07040196472253098,1.0,0.07040196472253098,0.09477008726340874,1.0,1.0,1.0,1.0,0.09477008726340874,1.0,0.09477008726340874,0.12326048795311224,1.0,1.0,1.0,1.0,0.12326048795311224,1.0,0.12326048795311224,1.0,1.0,1.0,0.12075756049404542
9,0.06903361250606307,1.0,1.0,1.0,1.0,0.06903361250606307,1.0,0.06903361250606307,0.09287859533766382,1.0,1.0,1.0,1.0,0.09287859533766382,1.0,0.09287859533766382,0.12073054335834014,1.0,1.0,1.0,1.0,0.12073054335834014,1.0,0.12073054335834014,1.0,1.0,1.0,0.11829487347886676
10,0.06764442904999382,1.0,1.0,1.0,1.0,0.06764442904999382,1.0,0.06764442904999382,0.09113763265186947,1.0,1.0,1.0,1.0,0.09113763265186947,1.0,0.09113763265186947,0.11864337078960878,1.0,1.0,1.0,1.0,0.11864337078960878,1.0,0.11864337078960878,1.0,1.0,1.0,0.11612970405923469
