epoch,train_loss,val_loss,val_MAE_H3,val_RMSE_H3,val_R2_H3,val_Score_H3,val_MAE_H6,val_RMSE_H6,val_R2_H6,val_Score_H6,val_MAE_H10,val_RMSE_H10,val_R2_H10,val_Score_H10,val_score_primary,is_best_epoch,bad_epochs,learning_rate,epoch_time_sec,total_loss,granularity_loss_h3,granularity_loss_h6,granularity_loss_h10,granularity_weight_h3,granularity_weight_h6,granularity_weight_h10,site_weight_mean,site_weight_max,site_weight_min,skipped_train_batches_epoch,skipped_val_batches_epoch,skipped_train_batches_total,skipped_val_batches_total,skipped_batches_total_run,difficulty_level_h10,difficulty_level_h3,difficulty_level_h6,ema_loss_h10,ema_loss_h3,ema_loss_h6,initial_loss_h10,initial_loss_h3,initial_loss_h6,raw_loss_h10,raw_loss_h3,raw_loss_h6,relative_training_rate_h10,relative_training_rate_h3,relative_training_rate_h6,site_loss,skipped_all_invalid_batch,val_difficulty_level_h10,val_difficulty_level_h3,val_difficulty_level_h6,val_ema_loss_h10,val_ema_loss_h3,val_ema_loss_h6,val_granularity_loss_h10,val_granularity_loss_h3,val_granularity_loss_h6,val_granularity_weight_h10,val_granularity_weight_h3,val_granularity_weight_h6,val_initial_loss_h10,val_initial_loss_h3,val_initial_loss_h6,val_official_score_h10,val_official_score_h3,val_official_score_h6,val_raw_loss_h10,val_raw_loss_h3,val_raw_loss_h6,val_relative_training_rate_h10,val_relative_training_rate_h3,val_relative_training_rate_h6,val_site_loss,val_site_weight_max,val_site_weight_mean,val_site_weight_min,val_skipped_all_invalid_batch,val_weighted_contribution_h10,val_weighted_contribution_h3,val_weighted_contribution_h6,weighted_contribution_h10,weighted_contribution_h3,weighted_contribution_h6
1,0.20822163655289583,0.07947735288386862,111.40764303185259,162.07195801812796,0.8006506313073731,12.74825997832063,123.74954896464203,183.71702709557331,0.7433496702039555,14.47716653019468,138.73753756198198,208.22777068663754,0.6696224592033737,16.32536302777968,16.32536302777968,True,0,0.001,100.27897980005946,0.20822163655289583,0.14441114271941938,0.16591684564805487,0.19340430618751617,1.0,1.0,1.0,1.0,1.0,1.0,9,20,9,20,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19340430618751617,0.14441114271941938,0.16591684564805487,1.0,1.0,1.0,0.1937267129087732,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07868864536491851,0.049567237988990626,0.0627938514446904,1.0,1.0,1.0,1.0,1.0,1.0,16.32536302777968,12.74825997832063,14.47716653019468,0.07868864536491851,0.049567237988990626,0.0627938514446904,1.0,1.0,1.0,0.078970528462342,1.0,1.0,1.0,0.0,0.07868864536491851,0.049567237988990626,0.0627938514446904,0.19340430618751617,0.14441114271941938,0.16591684564805487
2,0.15244415303958314,0.07101243431966642,101.77147434294208,149.95148572822225,0.8293522159730065,11.167237202314304,115.5431707499673,174.10332497370058,0.7695073192577649,13.247928067232602,131.81922157543497,200.3852060306591,0.6940400875790617,15.298207433040103,15.298207433040103,True,0,0.001,108.69768650003243,0.15244415303958314,0.095431739705031,0.12076428373072422,0.15004941390915996,1.0,1.0,1.0,1.0,1.0,1.0,9,20,18,40,58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15004941390915996,0.095431739705031,0.12076428373072422,1.0,1.0,1.0,0.15070861679102693,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07218330848406945,0.04167341740470462,0.05568534637666009,1.0,1.0,1.0,1.0,1.0,1.0,15.298207433040103,11.167237202314304,13.247928067232602,0.07218330848406945,0.04167341740470462,0.05568534637666009,1.0,1.0,1.0,0.07249204076429729,1.0,1.0,1.0,0.0,0.07218330848406945,0.04167341740470462,0.05568534637666009,0.15004941390915996,0.095431739705031,0.12076428373072422
3,0.14281316704693295,0.06852990999563226,95.30646744804396,143.23415936340078,0.8442986730291157,10.713278492727648,111.96764023111004,170.25947577711014,0.7795725927691612,13.10466648931073,129.94533625320975,197.6505554825124,0.7023339561160193,15.36634713414595,15.36634713414595,False,1,0.001,118.02164749999065,0.14281316704693295,0.08725518719003532,0.11286865495608754,0.14236734601713363,1.0,1.0,1.0,1.0,1.0,1.0,9,20,27,60,87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14236734601713363,0.08725518719003532,0.11286865495608754,1.0,1.0,1.0,0.1430999053464759,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07087990150126294,0.038312611630183,0.05367226411905048,1.0,1.0,1.0,1.0,1.0,1.0,15.36634713414595,10.713278492727648,13.10466648931073,0.07087990150126294,0.038312611630183,0.05367226411905048,1.0,1.0,1.0,0.07120824628280191,1.0,1.0,1.0,0.0,0.07087990150126294,0.038312611630183,0.05367226411905048,0.14236734601713363,0.08725518719003532,0.11286865495608754
4,0.13678680763890347,0.06734330729143281,96.36171690098217,143.23363471632754,0.844299813652222,10.144276597771544,111.39590148341648,169.9014234609447,0.7804987268943473,12.378621375393916,128.62681262944685,197.38301215490446,0.7031392628717728,14.613574456435378,14.613574456435378,True,1,0.001,101.09399299998768,0.13678680763890347,0.08225763163141657,0.10781488887537895,0.13746916221543437,1.0,1.0,1.0,1.0,1.0,1.0,9,20,36,80,116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13746916221543437,0.08225763163141657,0.10781488887537895,1.0,1.0,1.0,0.13818530840355725,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06945934030628795,0.03802378723593406,0.05259359830427282,1.0,1.0,1.0,1.0,1.0,1.0,14.613574456435378,10.144276597771544,12.378621375393916,0.06945934030628795,0.03802378723593406,0.05259359830427282,1.0,1.0,1.0,0.06992198405053301,1.0,1.0,1.0,0.0,0.06945934030628795,0.03802378723593406,0.05259359830427282,0.13746916221543437,0.08225763163141657,0.10781488887537895
5,0.1327723929835927,0.06643907180895542,94.75953299304638,141.1585951168726,0.8487784234131506,9.892487968926632,110.02473731804295,168.67174283831116,0.7836645589557547,12.098047590056511,127.36587334217725,196.51790850848525,0.705735763042724,14.340257435112989,14.340257435112989,True,0,0.001,100.89119760005269,0.1327723929835927,0.07905938606441877,0.10443559717654326,0.1340356315796574,1.0,1.0,1.0,1.0,1.0,1.0,9,20,45,100,145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1340356315796574,0.07905938606441877,0.10443559717654326,1.0,1.0,1.0,0.1347394261065693,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06868012700937551,0.03725550253015342,0.05185058502809562,1.0,1.0,1.0,1.0,1.0,1.0,14.340257435112989,9.892487968926632,12.098047590056511,0.06868012700937551,0.03725550253015342,0.05185058502809562,1.0,1.0,1.0,0.06921832516486642,1.0,1.0,1.0,0.0,0.06868012700937551,0.03725550253015342,0.05185058502809562,0.1340356315796574,0.07905938606441877,0.10443559717654326
6,0.12792377098507823,0.06364820277882657,88.75434310983312,135.02760740025138,0.8616292638585608,9.441385114311927,106.36093933884075,164.5220038783659,0.7941783811675275,11.9124014007429,125.00127593636459,193.03530434251942,0.7160729916984636,14.3226975776801,14.3226975776801,True,0,0.001,100.5022759999847,0.12792377098507823,0.07529045156599802,0.10048340517653233,0.12989760421748672,1.0,1.0,1.0,1.0,1.0,1.0,9,20,54,120,174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12989760421748672,0.07529045156599802,0.10048340517653233,1.0,1.0,1.0,0.13060533622545856,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0668244103613204,0.034096073238391277,0.0495986581947471,1.0,1.0,1.0,1.0,1.0,1.0,14.3226975776801,9.441385114311927,11.9124014007429,0.0668244103613204,0.034096073238391277,0.0495986581947471,1.0,1.0,1.0,0.06737576801790925,1.0,1.0,1.0,0.0,0.0668244103613204,0.034096073238391277,0.0495986581947471,0.12989760421748672,0.07529045156599802,0.10048340517653233
7,0.12384509632275217,0.06586879747575654,89.71084121584025,137.22642414258604,0.8570860575216203,9.374304902917192,108.02894984917666,167.6165038244744,0.7863629540388839,11.844545629969392,126.90191329006726,196.0556852440492,0.7071183934415809,14.289451498943098,14.289451498943098,True,0,0.001,100.43776539992541,0.12384509632275217,0.07236833759454306,0.09721447037238824,0.1262281865679792,1.0,1.0,1.0,1.0,1.0,1.0,9,20,63,140,203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1262281865679792,0.07236833759454306,0.09721447037238824,1.0,1.0,1.0,0.12695116120434943,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06879008130521372,0.035641902009096324,0.051513543289115775,1.0,1.0,1.0,1.0,1.0,1.0,14.289451498943098,9.374304902917192,11.844545629969392,0.06879008130521372,0.035641902009096324,0.051513543289115775,1.0,1.0,1.0,0.0694347675000845,1.0,1.0,1.0,0.0,0.06879008130521372,0.035641902009096324,0.051513543289115775,0.1262281865679792,0.07236833759454306,0.09721447037238824
8,0.12075756049404542,0.06528257557048733,86.967375396274,135.00101073689575,0.861683768822546,9.119992043853392,107.06698550078512,166.83727193460953,0.7883446901784387,11.77220988145737,127.01273617084388,195.64252454341798,0.7083515090897012,14.359323557511978,14.359323557511978,False,1,0.001,110.0249270000495,0.12075756049404542,0.07040196472253098,0.09477008726340874,0.12326048795311224,1.0,1.0,1.0,1.0,1.0,1.0,9,20,72,160,232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12326048795311224,0.07040196472253098,0.09477008726340874,1.0,1.0,1.0,0.12397293402325539,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06877957260364602,0.034377718949346374,0.05105550333758899,1.0,1.0,1.0,1.0,1.0,1.0,14.359323557511978,9.119992043853392,11.77220988145737,0.06877957260364602,0.034377718949346374,0.05105550333758899,1.0,1.0,1.0,0.069391542685498,1.0,1.0,1.0,0.0,0.06877957260364602,0.034377718949346374,0.05105550333758899,0.12326048795311224,0.07040196472253098,0.09477008726340874
9,0.11829487347886676,0.0614305093593143,82.50878036424201,127.5488994132296,0.8765325331636242,8.65323963383359,102.94373821336248,160.38539550448644,0.8043982898980384,11.308492268873382,123.2873137973177,189.95824104899725,0.7250526766821134,13.929061428907533,13.929061428907533,True,1,0.001,117.13496330007911,0.11829487347886676,0.06903361250606307,0.09287859533766382,0.12073054335834014,1.0,1.0,1.0,1.0,1.0,1.0,9,20,81,180,261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12073054335834014,0.06903361250606307,0.09287859533766382,1.0,1.0,1.0,0.12141811022801059,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06539364507120203,0.031483268993648617,0.04782752332643473,1.0,1.0,1.0,1.0,1.0,1.0,13.929061428907533,8.65323963383359,11.308492268873382,0.06539364507120203,0.031483268993648617,0.04782752332643473,1.0,1.0,1.0,0.06597847651330102,1.0,1.0,1.0,0.0,0.06539364507120203,0.031483268993648617,0.04782752332643473,0.12073054335834014,0.06903361250606307,0.09287859533766382
10,0.11612970405923469,0.06263609486517355,83.26996996838334,128.83358031065313,0.8740328629397238,8.783065581386376,103.79714138696635,161.97144502695505,0.8005105550038627,11.440472092523567,124.15904342022384,191.49219545074234,0.720594227886185,14.086788685018162,14.086788685018162,False,1,0.001,110.86730629997328,0.11612970405923469,0.06764442904999382,0.09113763265186947,0.11864337078960878,1.0,1.0,1.0,1.0,1.0,1.0,9,20,90,200,290,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11864337078960878,0.06764442904999382,0.09113763265186947,1.0,1.0,1.0,0.11932770664404546,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06663493772801195,0.03212091392505423,0.048851590689324445,1.0,1.0,1.0,1.0,1.0,1.0,14.086788685018162,8.783065581386376,11.440472092523567,0.06663493772801195,0.03212091392505423,0.048851590689324445,1.0,1.0,1.0,0.06716806022909108,1.0,1.0,1.0,0.0,0.06663493772801195,0.03212091392505423,0.048851590689324445,0.11864337078960878,0.06764442904999382,0.09113763265186947
