epoch,train_loss,val_loss,val_MAE_H3,val_RMSE_H3,val_R2_H3,val_Score_H3,val_MAE_H6,val_RMSE_H6,val_R2_H6,val_Score_H6,val_MAE_H10,val_RMSE_H10,val_R2_H10,val_Score_H10,val_score_primary,is_best_epoch,bad_epochs,learning_rate,epoch_time_sec,total_loss,granularity_loss_h3,granularity_loss_h6,granularity_loss_h10,granularity_weight_h3,granularity_weight_h6,granularity_weight_h10,site_weight_mean,site_weight_max,site_weight_min,skipped_train_batches_epoch,skipped_val_batches_epoch,skipped_train_batches_total,skipped_val_batches_total,skipped_batches_total_run,val_official_score_h10,val_official_score_h3,val_official_score_h6
1,0.6147584856975646,0.3979398498008844,187.91704283759208,270.0998131185701,0.44633423025398944,20.841325496004373,195.79879030836784,281.6871482405313,0.3966392224754248,22.081356892165942,204.75996145097488,293.60676342161895,0.34315132484397104,23.35749465118915,23.35749465118915,True,0,0.001,102.01023419998819,0.6147584856975646,,,,,,,,,,9,20,9,20,29,23.35749465118915,20.841325496004373,22.081356892165942
2,0.5119784748270398,0.36192918025654525,168.7127452244099,245.30209133361362,0.5433309190623832,18.63698162433175,177.2890482069994,257.9576416901787,0.49401248115095764,19.893904285894862,186.69563216241912,270.8873712086872,0.44087265274201837,21.191501345855357,21.191501345855357,True,0,0.001,99.98131780000404,0.5119784748270398,,,,,,,,,,9,20,18,40,58,21.191501345855357,18.63698162433175,19.893904285894862
3,0.4827081515675499,0.3353566954306928,158.32847769077762,230.64141480354238,0.5962861082658172,16.815502017817405,167.48411719741605,244.67001405445032,0.5447976427320835,18.16006132806316,177.58458349997116,258.92705888578445,0.48915623905997263,19.578335894773367,19.578335894773367,True,0,0.001,101.3444029999664,0.4827081515675499,,,,,,,,,,9,20,27,60,87,19.578335894773367,16.815502017817405,18.16006132806316
4,0.4669506386632011,0.3156324878078082,151.30812588074755,220.59960886005032,0.6306751050884245,15.52238415803611,160.46915438662634,235.54966607631434,0.5781014873322847,16.87296987512112,170.86177777513697,251.0047278651488,0.5199383420166821,18.371897777857622,18.371897777857622,True,0,0.001,100.61390230001416,0.4669506386632011,,,,,,,,,,9,20,36,80,116,18.371897777857622,15.52238415803611,16.87296987512112
5,0.45611552255494253,0.31560036315229434,152.7249044579212,223.49062056381044,0.6209314887529441,15.411799057507789,162.43937557968525,239.16092780141943,0.565065891184813,16.78494135720582,173.3357567539066,255.41129528548169,0.5029347343894917,18.3377615990369,18.3377615990369,True,0,0.001,100.36773009999888,0.45611552255494253,,,,,,,,,,9,20,45,100,145,18.3377615990369,15.411799057507789,16.78494135720582
6,0.44867293529567265,0.3126720574322005,154.95348566367156,220.55736593439462,0.6308165366203815,15.344791491774332,163.86839966443017,236.28444318182463,0.5754652290471365,16.630071929488743,173.89892581030603,252.59601334927922,0.5138321890624931,18.131002887372922,18.131002887372922,True,0,0.001,99.992012600007,0.44867293529567265,,,,,,,,,,9,20,54,120,174,18.131002887372922,15.344791491774332,16.630071929488743
7,0.4434430711326145,0.30568619340364567,149.75295613807702,212.4542488050732,0.6574452859265988,14.97842765691519,158.58298398509905,228.21593704665216,0.603963743099353,16.243438853818724,168.79683511153155,245.01341306647768,0.5425823300372918,17.739284002223073,17.739284002223073,True,0,0.001,100.82012290001148,0.4434430711326145,,,,,,,,,,9,20,63,140,203,17.739284002223073,14.97842765691519,16.243438853818724
8,0.43699355405710993,0.295870506310184,140.18171238466238,205.7863689931978,0.6786100327288671,14.17673648203823,150.2650424382909,222.4971749762277,0.6235632537935722,15.567270228487978,161.66923215321054,239.81481732702957,0.5617870139433775,17.165253670040176,17.165253670040176,True,0,0.001,104.41118529997766,0.43699355405710993,,,,,,,,,,9,20,72,160,232,17.165253670040176,14.17673648203823,15.567270228487978
9,0.43566363737696695,0.29489691605048224,138.62246710398014,203.12883584393683,0.686857318754178,14.091628153899741,148.73986331486674,219.81643583509916,0.632579543704791,15.49482815773122,160.38396157387672,237.43747999933842,0.5704321544110098,17.12860179839452,17.12860179839452,True,0,0.001,99.38280330004636,0.43566363737696695,,,,,,,,,,9,20,81,180,261,17.12860179839452,14.091628153899741,15.49482815773122
10,0.4257736594194458,0.29262349156323325,136.04659024744365,200.41088701501388,0.6951812153047259,13.806931404947173,146.81714619498044,217.34539355691584,0.6407937464729552,15.279971619547034,159.1334074410985,235.2289281042089,0.5783863371478059,16.967441984832508,16.967441984832508,True,0,0.001,98.21970630000578,0.4257736594194458,,,,,,,,,,9,20,90,200,290,16.967441984832508,13.806931404947173,15.279971619547034
