variant_id,trained_variant_id,volatility_group,num_windows,coarse_gate_mean,coarse_gate_std,fine_gate_mean,fine_gate_std,gate_dynamic_range_p95_minus_p05,gate_p05,gate_p50,gate_p95,pearson_gate_volatility,same_test_prediction,spearman_gate_volatility
V0_FULL_DYNAMIC,S0_FULL_A0,all,3,0.3979402979214986,0.005647664365544644,0.6020597020785013,0.005647664365544644,0.011518478393554688,0.5952392458915711,0.6050917506217957,0.6067577242851258,0.9984053522289167,True,1.0
V0_FULL_DYNAMIC,S0_FULL_A0,low,1,0.4058554768562317,0.0,0.5941445231437683,0.0,0.0,0.5941445231437683,0.5941445231437683,0.5941445231437683,0.9984053522289167,True,1.0
V0_FULL_DYNAMIC,S0_FULL_A0,medium,1,0.39490824937820435,0.0,0.6050917506217957,0.0,0.0,0.6050917506217957,0.6050917506217957,0.6050917506217957,0.9984053522289167,True,1.0
V0_FULL_DYNAMIC,S0_FULL_A0,high,1,0.3930571675300598,0.0,0.6069428324699402,0.0,0.0,0.6069428324699402,0.6069428324699402,0.6069428324699402,0.9984053522289167,True,1.0
V1_FINE_ONLY,V1_FINE_ONLY,all,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,nan,True,nan
V1_FINE_ONLY,V1_FINE_ONLY,low,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,nan,True,nan
V1_FINE_ONLY,V1_FINE_ONLY,medium,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,nan,True,nan
V1_FINE_ONLY,V1_FINE_ONLY,high,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,nan,True,nan
V2_COARSE_ONLY,V2_COARSE_ONLY,all,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,True,nan
V2_COARSE_ONLY,V2_COARSE_ONLY,low,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,True,nan
V2_COARSE_ONLY,V2_COARSE_ONLY,medium,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,True,nan
V2_COARSE_ONLY,V2_COARSE_ONLY,high,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,True,nan
V3_FIXED_DUAL,V3_FIXED_DUAL,all,3,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,nan,True,nan
V3_FIXED_DUAL,V3_FIXED_DUAL,low,1,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,nan,True,nan
V3_FIXED_DUAL,V3_FIXED_DUAL,medium,1,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,nan,True,nan
V3_FIXED_DUAL,V3_FIXED_DUAL,high,1,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,nan,True,nan
V4_RANDOM_GATE,V4_RANDOM_GATE,all,3,0.3987630804379781,0.015361689072241976,0.6012369195620219,0.015361689072241976,0.030760538578033403,0.5890371441841126,0.5921497941017151,0.619797682762146,-0.9602963715627614,True,-0.5
V4_RANDOM_GATE,V4_RANDOM_GATE,low,1,0.37713032960891724,0.0,0.6228696703910828,0.0,0.0,0.6228696703910828,0.6228696703910828,0.6228696703910828,-0.9602963715627614,True,-0.5
V4_RANDOM_GATE,V4_RANDOM_GATE,medium,1,0.4113087058067322,0.0,0.5886912941932678,0.0,0.0,0.5886912941932678,0.5886912941932678,0.5886912941932678,-0.9602963715627614,True,-0.5
V4_RANDOM_GATE,V4_RANDOM_GATE,high,1,0.4078502058982849,0.0,0.5921497941017151,0.0,0.0,0.5921497941017151,0.5921497941017151,0.5921497941017151,-0.9602963715627614,True,-0.5
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,all,3,0.3983487884203593,0.00573926271119218,0.6016512115796407,0.00573926271119218,0.01174163818359375,0.5947220683097839,0.6046749949455261,0.6064637064933777,-0.5416866161958982,True,-0.5
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,low,1,0.3953250050544739,0.0,0.6046749949455261,0.0,0.0,0.6046749949455261,0.6046749949455261,0.6046749949455261,-0.5416866161958982,True,-0.5
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,medium,1,0.39333754777908325,0.0,0.6066624522209167,0.0,0.0,0.6066624522209167,0.6066624522209167,0.6066624522209167,-0.5416866161958982,True,-0.5
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,high,1,0.40638381242752075,0.0,0.5936161875724792,0.0,0.0,0.5936161875724792,0.5936161875724792,0.5936161875724792,-0.5416866161958982,True,-0.5
