variant_id,trained_variant_id,volatility_group,horizon,Score,MAE,RMSE,same_test_prediction,used_for_variant_selection,window_mae_kw_p90,window_mae_kw_p95
V0_FULL_DYNAMIC,S0_FULL_A0,low,3,7.046,51.412,58.949,True,False,51.41211954752604,51.41211954752604
V0_FULL_DYNAMIC,S0_FULL_A0,low,6,8.727,63.228,72.287,True,False,63.22761789957682,63.22761789957682
V0_FULL_DYNAMIC,S0_FULL_A0,low,10,11.151,80.221,90.416,True,False,80.22052154541015,80.22052154541015
V0_FULL_DYNAMIC,S0_FULL_A0,medium,3,7.225,52.619,59.551,True,False,52.61860911051432,52.61860911051432
V0_FULL_DYNAMIC,S0_FULL_A0,medium,6,8.532,61.994,70.871,True,False,61.99410502115885,61.99410502115885
V0_FULL_DYNAMIC,S0_FULL_A0,medium,10,10.951,78.860,89.724,True,False,78.85963745117188,78.85963745117188
V0_FULL_DYNAMIC,S0_FULL_A0,high,3,6.899,50.355,58.076,True,False,50.35490351137908,50.35490351137908
V0_FULL_DYNAMIC,S0_FULL_A0,high,6,8.358,61.034,69.580,True,False,61.034409543301194,61.034409543301194
V0_FULL_DYNAMIC,S0_FULL_A0,high,10,10.711,77.407,88.460,True,False,77.40725360339201,77.40725360339201
V3_FIXED_DUAL,V3_FIXED_DUAL,low,3,7.254,53.075,61.193,True,False,53.07513936360677,53.07513936360677
V3_FIXED_DUAL,V3_FIXED_DUAL,low,6,9.041,65.634,75.601,True,False,65.63376744588216,65.63376744588216
V3_FIXED_DUAL,V3_FIXED_DUAL,low,10,11.502,82.894,93.952,True,False,82.89443588256836,82.89443588256836
V3_FIXED_DUAL,V3_FIXED_DUAL,medium,3,7.374,53.644,61.039,True,False,53.64387512207031,53.64387512207031
V3_FIXED_DUAL,V3_FIXED_DUAL,medium,6,8.727,63.429,73.166,True,False,63.428558349609375,63.428558349609375
V3_FIXED_DUAL,V3_FIXED_DUAL,medium,10,11.113,80.089,91.923,True,False,80.08886337280273,80.08886337280273
V3_FIXED_DUAL,V3_FIXED_DUAL,high,3,6.858,49.907,57.941,True,False,49.90670643682065,49.90670643682065
V3_FIXED_DUAL,V3_FIXED_DUAL,high,6,8.363,60.935,70.251,True,False,60.935092357878986,60.935092357878986
V3_FIXED_DUAL,V3_FIXED_DUAL,high,10,10.702,77.263,89.056,True,False,77.26274475870254,77.26274475870254
V4_RANDOM_GATE,V4_RANDOM_GATE,low,3,7.261,52.999,61.040,True,False,52.998565673828125,52.998565673828125
V4_RANDOM_GATE,V4_RANDOM_GATE,low,6,8.980,65.124,74.571,True,False,65.12405141194661,65.12405141194661
V4_RANDOM_GATE,V4_RANDOM_GATE,low,10,11.428,82.308,92.833,True,False,82.30849227905273,82.30849227905273
V4_RANDOM_GATE,V4_RANDOM_GATE,medium,3,7.289,53.112,60.442,True,False,53.11240895589193,53.11240895589193
V4_RANDOM_GATE,V4_RANDOM_GATE,medium,6,8.627,62.711,71.863,True,False,62.7112668355306,62.7112668355306
V4_RANDOM_GATE,V4_RANDOM_GATE,medium,10,11.036,79.501,90.543,True,False,79.50074920654296,79.50074920654296
V4_RANDOM_GATE,V4_RANDOM_GATE,high,3,6.954,50.876,58.844,True,False,50.87566607931386,50.87566607931386
V4_RANDOM_GATE,V4_RANDOM_GATE,high,6,8.413,61.531,70.325,True,False,61.5306084815492,61.5306084815492
V4_RANDOM_GATE,V4_RANDOM_GATE,high,10,10.792,78.005,89.104,True,False,78.00454750543908,78.00454750543908
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,low,3,6.932,50.566,57.633,True,False,50.56578063964844,50.56578063964844
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,low,6,8.617,62.380,71.024,True,False,62.380174001057945,62.380174001057945
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,low,10,11.060,79.517,89.408,True,False,79.51689376831055,79.51689376831055
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,medium,3,7.200,52.421,59.316,True,False,52.42119344075521,52.42119344075521
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,medium,6,8.492,61.702,70.680,True,False,61.70159657796224,61.70159657796224
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,medium,10,10.864,78.251,89.357,True,False,78.25128555297852,78.25128555297852
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,high,3,6.724,49.074,56.545,True,False,49.07433551290761,49.07433551290761
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,high,6,8.152,59.508,67.891,True,False,59.508285197805854,59.508285197805854
V5_SHUFFLED_VOLATILITY,V5_SHUFFLED_VOLATILITY,high,10,10.467,75.581,86.335,True,False,75.58097201963014,75.58097201963014
