step,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,bias_kw,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied,negative_prediction_ratio_raw,above_capacity_ratio_raw
1,37.972,44.584,0.155,0.043,0.044,5.084,5.084,5.084,17.078,23,24,0.958,23,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
2,39.005,50.000,0.042,0.044,0.043,5.227,5.227,5.227,-23.951,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
3,39.856,50.757,-0.031,0.044,0.043,5.341,5.341,5.341,-29.435,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
4,52.034,64.927,-0.566,0.058,0.056,6.973,6.973,6.973,-51.077,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
5,36.972,49.603,0.075,0.040,0.039,4.954,4.954,4.954,-30.626,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
6,61.145,73.166,-0.935,0.067,0.064,8.193,8.193,8.193,-60.534,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
7,68.901,80.161,-1.541,0.075,0.072,9.233,9.233,9.233,-68.901,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
8,63.430,74.804,-1.020,0.068,0.065,8.500,8.500,8.500,-63.176,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
9,90.456,98.931,-2.988,0.098,0.093,12.121,12.121,12.121,-90.456,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
10,64.665,73.480,-1.273,0.069,0.066,8.665,8.665,8.665,-64.588,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
