step,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,bias_kw,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied,negative_prediction_ratio_raw,above_capacity_ratio_raw
1,39.081,51.332,-0.120,0.044,0.043,5.218,5.218,5.218,-22.923,23,24,0.958,23,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
2,41.088,53.347,-0.091,0.046,0.046,5.506,5.506,5.506,-9.604,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
3,37.237,49.289,0.028,0.041,0.040,4.990,4.990,4.990,-16.080,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
4,48.165,63.982,-0.521,0.053,0.051,6.454,6.454,6.454,-42.103,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
5,80.091,92.468,-2.216,0.090,0.085,10.732,10.732,10.732,-80.091,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
6,52.341,67.496,-0.646,0.057,0.055,7.014,7.014,7.014,-44.160,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
7,70.867,83.041,-1.727,0.078,0.074,9.496,9.496,9.496,-70.867,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
8,84.350,97.945,-2.464,0.092,0.087,11.303,11.303,11.303,-83.106,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
9,128.306,136.377,-6.578,0.143,0.133,17.193,17.193,17.193,-128.306,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
10,116.136,125.298,-5.610,0.127,0.119,15.562,15.562,15.562,-116.136,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
