batch,horizon,fine_history_attention_entropy,coarse_history_attention_entropy,macro_attention_entropy,fine_effective_history_steps,coarse_effective_history_steps,fine_expected_lag,coarse_expected_lag,fine_context_norm,coarse_context_norm,macro_context_norm
0,1,2.4840755462646484,2.481480598449707,1.3592870235443115,11.990031242370605,11.95895767211914,5.411628723144531,5.460596084594727,1.4323756694793701,1.701194167137146,0.8823674917221069
0,2,2.484471321105957,2.48225736618042,1.3605083227157593,11.99477767944336,11.96825122833252,5.4947943687438965,5.594879150390625,1.426518440246582,1.6984145641326904,0.8096768856048584
0,3,2.484495162963867,2.48175311088562,1.345707654953003,11.995062828063965,11.962217330932617,5.474323272705078,5.435629844665527,1.4319738149642944,1.7035878896713257,0.8148877024650574
0,4,2.4842610359191895,2.4816808700561523,1.3486766815185547,11.992255210876465,11.961353302001953,5.469903469085693,5.3762712478637695,1.4283206462860107,1.700730562210083,0.855113685131073
0,5,2.4843788146972656,2.4815196990966797,1.3547122478485107,11.993667602539062,11.95942497253418,5.484484672546387,5.459567070007324,1.430591344833374,1.7035331726074219,0.7675852179527283
0,6,2.48423171043396,2.4827165603637695,1.354637861251831,11.991904258728027,11.973747253417969,5.559177398681641,5.450227737426758,1.427650809288025,1.6956706047058105,0.9059771299362183
0,7,2.4843554496765137,2.4808754920959473,1.3651750087738037,11.993387222290039,11.9517240524292,5.481066703796387,5.713372230529785,1.4303257465362549,1.6998180150985718,0.8433001041412354
0,8,2.4835424423217773,2.48252272605896,1.3537095785140991,11.983640670776367,11.971426963806152,5.622215270996094,5.556883811950684,1.419371485710144,1.6982377767562866,0.8425984382629395
0,9,2.4837961196899414,2.4829728603363037,1.329338788986206,11.98668098449707,11.97681713104248,5.575067043304443,5.540482997894287,1.4154114723205566,1.7041919231414795,0.8287948369979858
0,10,2.483443260192871,2.482217788696289,1.3232502937316895,11.982452392578125,11.967777252197266,5.593778133392334,5.46045446395874,1.4199881553649902,1.6993472576141357,0.8855876922607422
