analysis,bootstrap_reps,ci_lower,ci_upper,delta_direction,horizon,num_windows,point_estimate,sampling_unit,statistic,status
volatility_low,1000,-1.925282787975346,-0.5445569455402571,positive_means_A0_better,3,4125,-1.271697423448785,paired_window,delta_MAE_A1_minus_A0,ok
volatility_low,1000,-0.15394855484736963,-0.030370664875994716,positive_means_A0_better,3,4125,-0.09158416466437735,paired_window,delta_Score_A1_minus_A0,ok
volatility_low,1000,-1.8297075479170914,-0.27457897434783346,positive_means_A0_better,6,4125,-1.0450110647036581,paired_window,delta_MAE_A1_minus_A0,ok
volatility_low,1000,-0.007586479555207547,0.13504464041474828,positive_means_A0_better,6,4125,0.062368403538236805,paired_window,delta_Score_A1_minus_A0,ok
volatility_low,1000,-1.4670744972746732,0.22288608977123917,positive_means_A0_better,10,4125,-0.6423582267993595,paired_window,delta_MAE_A1_minus_A0,ok
volatility_low,1000,0.044564889759572957,0.19862022158314135,positive_means_A0_better,10,4125,0.12607222028209897,paired_window,delta_Score_A1_minus_A0,ok
volatility_medium,1000,-7.098896225966033,-3.604547231021624,positive_means_A0_better,3,875,-5.383686228359636,paired_window,delta_MAE_A1_minus_A0,ok
volatility_medium,1000,-0.8304617453162915,-0.42975011990220485,positive_means_A0_better,3,875,-0.6295534428418357,paired_window,delta_Score_A1_minus_A0,ok
volatility_medium,1000,-8.263329866644156,-4.589446483770578,positive_means_A0_better,6,875,-6.403636663265559,paired_window,delta_MAE_A1_minus_A0,ok
volatility_medium,1000,-0.9489814355288397,-0.5236714230249588,positive_means_A0_better,6,875,-0.7373091670447991,paired_window,delta_Score_A1_minus_A0,ok
volatility_medium,1000,-9.171387916858977,-5.27951698170297,positive_means_A0_better,10,875,-7.271306463173914,paired_window,delta_MAE_A1_minus_A0,ok
volatility_medium,1000,-1.056624748933319,-0.6130157589018141,positive_means_A0_better,10,875,-0.8325245711251554,paired_window,delta_Score_A1_minus_A0,ok
volatility_high,1000,-0.9861677939916415,3.5293159477655642,positive_means_A0_better,3,104,1.233051331554634,paired_window,delta_MAE_A1_minus_A0,ok
volatility_high,1000,0.1165479640002188,0.7558664139569041,positive_means_A0_better,3,104,0.4320194374245432,paired_window,delta_Score_A1_minus_A0,ok
volatility_high,1000,-2.314011816757698,1.8333147600317286,positive_means_A0_better,6,104,-0.3720148851328986,paired_window,delta_MAE_A1_minus_A0,ok
volatility_high,1000,0.1187154361405717,0.8053726808464171,positive_means_A0_better,6,104,0.46527443653531186,paired_window,delta_Score_A1_minus_A0,ok
volatility_high,1000,-4.180152925310402,0.0762539620016511,positive_means_A0_better,10,104,-1.9933542413796204,paired_window,delta_MAE_A1_minus_A0,ok
volatility_high,1000,-0.05659281068920121,0.8571180210130858,positive_means_A0_better,10,104,0.3983089120518688,paired_window,delta_Score_A1_minus_A0,ok
train_q90_extreme_volatility,1000,,,positive_means_A0_better,3,0,,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
shared_difficulty_top10,1000,-3.9355296695388993,2.8274687169650674,positive_means_A0_better,3,511,-0.6172102232725365,paired_window,delta_MAE_A1_minus_A0,ok
ramp_any,1000,-5.308982803966864,2.601801459346549,positive_means_A0_better,3,118,-1.0624603936105075,paired_window,delta_MAE_A1_minus_A0,ok
ramp_up,1000,-1.9661390008855264,7.194858968739398,positive_means_A0_better,3,82,2.414637271061565,paired_window,delta_MAE_A1_minus_A0,ok
ramp_down,1000,-9.790835851621058,1.1669429555980946,positive_means_A0_better,3,63,-4.242102802073987,paired_window,delta_MAE_A1_minus_A0,ok
train_q90_extreme_volatility,1000,,,positive_means_A0_better,6,0,,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
shared_difficulty_top10,1000,-6.040589884326775,0.668431915991335,positive_means_A0_better,6,511,-2.664808304115212,paired_window,delta_MAE_A1_minus_A0,ok
ramp_any,1000,-6.468976851825266,2.7363021249794373,positive_means_A0_better,6,110,-1.7120510382681005,paired_window,delta_MAE_A1_minus_A0,ok
ramp_up,1000,-2.7875936922527633,6.421722281157135,positive_means_A0_better,6,77,2.19114531809646,paired_window,delta_MAE_A1_minus_A0,ok
ramp_down,1000,-11.46198488434501,1.6508972042560783,positive_means_A0_better,6,61,-4.4918086466499005,paired_window,delta_MAE_A1_minus_A0,ok
train_q90_extreme_volatility,1000,,,positive_means_A0_better,10,0,,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
shared_difficulty_top10,1000,-7.361949869064879,-0.47859934365017104,positive_means_A0_better,10,511,-3.8257848572555133,paired_window,delta_MAE_A1_minus_A0,ok
ramp_any,1000,-9.035773420075534,-1.8225909722410558,positive_means_A0_better,10,99,-5.326962717639276,paired_window,delta_MAE_A1_minus_A0,ok
ramp_up,1000,-8.543440290994283,-0.0634028093201254,positive_means_A0_better,10,70,-3.946016200957729,paired_window,delta_MAE_A1_minus_A0,ok
ramp_down,1000,-7.2583896698330745,0.5867437013488962,positive_means_A0_better,10,59,-3.237775595321125,paired_window,delta_MAE_A1_minus_A0,ok
