analysis,bootstrap_reps,ci_lower,ci_upper,delta_direction,horizon,num_windows,point_estimate,sampling_unit,statistic,status
volatility_low,20,6.00111069450007,7.9349804328342515,positive_means_A0_better,3,22,7.025941918253416,paired_window,delta_MAE_A1_minus_A0,ok
volatility_low,20,0.026563100186093817,0.03359847184364888,positive_means_A0_better,3,22,0.029786735533820996,paired_window,delta_Score_A1_minus_A0,ok
volatility_low,20,6.311167440795896,7.7041125138981,positive_means_A0_better,6,22,7.01953949466828,paired_window,delta_MAE_A1_minus_A0,ok
volatility_low,20,0.028950308797814715,0.033390457045928905,positive_means_A0_better,6,22,0.03085257182456483,paired_window,delta_Score_A1_minus_A0,ok
volatility_low,20,6.174494168542585,7.614352089015604,positive_means_A0_better,10,22,7.028687374230586,paired_window,delta_MAE_A1_minus_A0,ok
volatility_low,20,0.029094351513294182,0.033648912571707455,positive_means_A0_better,10,22,0.031234691783018464,paired_window,delta_Score_A1_minus_A0,ok
volatility_medium,20,6.109773625761675,7.946050039125868,positive_means_A0_better,3,22,7.107821136094721,paired_window,delta_MAE_A1_minus_A0,ok
volatility_medium,20,0.027638071471128327,0.03547834205764814,positive_means_A0_better,3,22,0.03006166564873644,paired_window,delta_Score_A1_minus_A0,ok
volatility_medium,20,5.983002852066745,7.540339222005003,positive_means_A0_better,6,22,6.867934403739973,paired_window,delta_MAE_A1_minus_A0,ok
volatility_medium,20,0.026491456042603737,0.03309940224242619,positive_means_A0_better,6,22,0.029907173609041493,paired_window,delta_Score_A1_minus_A0,ok
volatility_medium,20,6.395617550483139,7.053213625908699,positive_means_A0_better,10,22,6.741450451988463,paired_window,delta_MAE_A1_minus_A0,ok
volatility_medium,20,0.028083311456859272,0.03375768965076003,positive_means_A0_better,10,22,0.029890304671305074,paired_window,delta_Score_A1_minus_A0,ok
volatility_high,20,5.772653984020279,8.237266570530583,positive_means_A0_better,3,16,6.977934928937145,paired_window,delta_MAE_A1_minus_A0,ok
volatility_high,20,0.02460268111905615,0.03372845502613307,positive_means_A0_better,3,16,0.029567178883258854,paired_window,delta_Score_A1_minus_A0,ok
volatility_high,20,6.827499727075102,8.07191335105896,positive_means_A0_better,6,16,7.428845988528835,paired_window,delta_MAE_A1_minus_A0,ok
volatility_high,20,0.029695920823297594,0.036922747065885324,positive_means_A0_better,6,16,0.03224599778213322,paired_window,delta_Score_A1_minus_A0,ok
volatility_high,20,6.904437246964035,8.229361677994664,positive_means_A0_better,10,16,7.5074287985457815,paired_window,delta_MAE_A1_minus_A0,ok
volatility_high,20,0.031962756777146814,0.03680525238859679,positive_means_A0_better,10,16,0.03318510803661229,paired_window,delta_Score_A1_minus_A0,ok
train_q90_extreme_volatility,20,,,positive_means_A0_better,3,5,7.932306657757671,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
shared_difficulty_top10,20,,,positive_means_A0_better,3,6,9.39332967729711,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
ramp_any,20,,,positive_means_A0_better,3,1,3.328541148792617,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
ramp_up,20,,,positive_means_A0_better,3,0,,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
ramp_down,20,,,positive_means_A0_better,3,1,3.328541148792617,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
train_q90_extreme_volatility,20,,,positive_means_A0_better,6,5,8.60805150082237,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
shared_difficulty_top10,20,,,positive_means_A0_better,6,6,8.76595477203825,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
ramp_any,20,,,positive_means_A0_better,6,1,7.94369241465693,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
ramp_up,20,,,positive_means_A0_better,6,1,7.94369241465693,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
ramp_down,20,,,positive_means_A0_better,6,0,,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
train_q90_extreme_volatility,20,,,positive_means_A0_better,10,5,7.987490227881899,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
shared_difficulty_top10,20,,,positive_means_A0_better,10,6,8.631887293071998,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
ramp_any,20,,,positive_means_A0_better,10,0,,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
ramp_up,20,,,positive_means_A0_better,10,0,,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
ramp_down,20,,,positive_means_A0_better,10,0,,paired_window,delta_MAE_A1_minus_A0,insufficient_samples
