variant,display_name,trainable,canonical_reference,metrics_source,horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
A0,Canonical Full,False,full_fixed_dual_keep_msmgdwu_seed2026,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h10.json,10,105.41287395398908,159.3411440391301,0.8543832008369954,0.497891431126345,1.4615132037172787,11.706390557819958,11.706390557819958,11.706390557819958,4186848,6839360,0.6121695597248865,4186848,MW_after_kW_to_MW_conversion,True,True
A0,Canonical Full,False,full_fixed_dual_keep_msmgdwu_seed2026,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h3.json,3,76.33942955875908,117.75677038705155,0.9204713645191344,0.42338150983365697,0.8495450219044672,7.783623200734026,7.783623200734026,7.783623200734026,1256027,2051808,0.6121562056488716,1256027,MW_after_kW_to_MW_conversion,True,True
A0,Canonical Full,False,full_fixed_dual_keep_msmgdwu_seed2026,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026\metrics_eval_h6.json,6,90.46171513146376,138.8132223588933,0.8894869334438604,0.46102307575990753,1.1233515364667692,9.684446283949155,9.684446283949155,9.684446283949155,2512061,4103616,0.6121579114615012,2512061,MW_after_kW_to_MW_conversion,True,True
A1,w/o Spatial Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A1\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,72.7960618789226,85.90528840317275,-1.2698859347589218,0.08062747524416185,0.07658139613962354,10.069267749000863,10.069267749000863,10.069267749000863,239,240,0.9958333333333333,239,MW_after_kW_to_MW_conversion,True,True
A1,w/o Spatial Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A1\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,52.220456405424734,62.629494031343675,-0.5529181405758787,0.059050450716432126,0.05706230882535045,7.171287911800953,7.171287911800953,7.171287911800953,71,72,0.9861111111111112,71,MW_after_kW_to_MW_conversion,True,True
A1,w/o Spatial Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A1\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,58.92137988964161,71.04376327819405,-0.8246597320003553,0.06607420558542465,0.06333457793253776,8.110285601858301,8.110285601858301,8.110285601858301,143,144,0.9930555555555556,143,MW_after_kW_to_MW_conversion,True,True
A2,w/o Adaptive Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A2\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,72.84111527319234,85.08236044042057,-1.226605581813911,0.08078052456964906,0.07684987139175954,10.088761368364056,10.088761368364056,10.088761368364056,239,240,0.9958333333333333,239,MW_after_kW_to_MW_conversion,True,True
A2,w/o Adaptive Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A2\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,59.55875450456646,68.95252189501704,-0.8823096408898141,0.0678357613338473,0.0652436843697418,8.107522146081818,8.107522146081818,8.107522146081818,71,72,0.9861111111111112,71,MW_after_kW_to_MW_conversion,True,True
A2,w/o Adaptive Graph,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A2\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,59.46930956006884,70.10878809889678,-0.7769487027841386,0.06686197396108015,0.06425046661278595,8.19240096982517,8.19240096982517,8.19240096982517,143,144,0.9930555555555556,143,MW_after_kW_to_MW_conversion,True,True
A3,w/o Diffusion,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A3\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,61.81672010860682,76.42896358714077,-0.7967190568601932,0.06782673735854777,0.06499487083856893,8.69946813489783,8.69946813489783,8.69946813489783,239,240,0.9958333333333333,239,MW_after_kW_to_MW_conversion,True,True
A3,w/o Diffusion,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A3\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,47.45413938710387,57.46091793031133,-0.30718144914240786,0.05334139675554493,0.052516887034156794,6.547857113739364,6.547857113739364,6.547857113739364,71,72,0.9861111111111112,71,MW_after_kW_to_MW_conversion,True,True
A3,w/o Diffusion,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A3\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,52.09109561093204,64.96256674161498,-0.5256549513630671,0.05802064590572852,0.05625815071231067,7.329242993593777,7.329242993593777,7.329242993593777,143,144,0.9930555555555556,143,MW_after_kW_to_MW_conversion,True,True
A8,w/o MS-MG-DWU,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A8\STMGPrompt_ComponentAblation\metrics_eval_h10.json,10,52.42870429769221,65.32232864589159,-0.3124644538087997,0.05726052774809011,0.05544791963305226,7.487516429755545,7.487516429755545,7.487516429755545,239,240,0.9958333333333333,239,MW_after_kW_to_MW_conversion,True,True
A8,w/o MS-MG-DWU,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A8\STMGPrompt_ComponentAblation\metrics_eval_h3.json,3,39.105292521731954,48.06538501930455,0.08534859057937327,0.043904396408449904,0.04381258410519563,5.499226849419618,5.499226849419618,5.499226849419618,71,72,0.9861111111111112,71,MW_after_kW_to_MW_conversion,True,True
A8,w/o MS-MG-DWU,True,,D:\PaperProject\GyxPaper2\custom_models\results_smoke\st_mgprompt_fixed_dual_refactor\component_ablation_fixed_dual_seed2026\A8\STMGPrompt_ComponentAblation\metrics_eval_h6.json,6,43.66006875204873,54.33748736990818,-0.06740461284221966,0.048480028796222874,0.04764295576402969,6.196831462250422,6.196831462250422,6.196831462250422,143,144,0.9930555555555556,143,MW_after_kW_to_MW_conversion,True,True
