model_id,model,horizon,Score,MAE,RMSE,R2
A0,ST-MGPrompt,H3,7.783623200734026,76.33942955875908,117.75677038705155,0.9204713645191344
A0,ST-MGPrompt,H6,9.684446283949155,90.46171513146376,138.8132223588933,0.8894869334438604
A0,ST-MGPrompt,H10,11.706390557819958,105.41287395398908,159.3411440391301,0.8543832008369954
lightts,LightTS,H3,8.434614931692057,77.88972747387862,117.41574441494649,0.920931330569112
lightts,LightTS,H6,10.246191468822579,93.14628452130985,140.21684072062385,0.8872407149612956
lightts,LightTS,H10,12.187578974514407,110.53334343314117,165.5065463884479,0.8428964599252122
moving_average,MovingAverage,H3,28.67948758409598,259.96074745601453,368.64090918677175,0.22060284561054133
moving_average,MovingAverage,H6,29.126859528854077,262.6765806720949,372.69897670658116,0.20334853531695118
moving_average,MovingAverage,H10,29.63469357964836,266.0884998988033,377.8585097033941,0.18113174870439908
tide,TiDE,H3,12.67839440678158,102.28874585113441,135.49220492468783,0.8947116355529883
tide,TiDE,H6,14.194262411478794,115.68431134725337,156.81718107332563,0.8589609922904445
tide,TiDE,H10,15.820669712908952,130.81836004360457,179.4664294469951,0.8152765362703072
transformer,Transformer,H3,31.37106596957245,300.718348990772,480.0919420178601,-0.3219060561169593
transformer,Transformer,H6,31.406028620762772,300.7643262848185,480.1477338007675,-0.3222139202854353
transformer,Transformer,H10,31.401971618688776,300.8137049335209,480.2013826097908,-0.3225205553886872
micn,MICN,H3,8.217346203923176,77.37569451492026,118.15964943431953,0.919926253941875
micn,MICN,H6,10.801057897138683,99.43001949409533,148.01268882327193,0.8743536564695427
micn,MICN,H10,13.745027899258561,122.21004136268577,177.23770631906388,0.8198360642289512
timesnet,TimesNet,H3,13.084111330057713,109.36456974392858,148.20290788178184,0.874030557071878
timesnet,TimesNet,H6,14.384845289773184,120.71604566539524,165.32555821612607,0.8432411915121412
timesnet,TimesNet,H10,15.715748568587275,132.666798705965,183.17128008281063,0.807571063585997
wpmixer,WPMixer,H3,17.1631357981446,124.69003202737977,161.00369193179685,0.8513299702046473
wpmixer,WPMixer,H6,20.92502484549638,154.73803380851714,207.47743674893326,0.7531155674391053
wpmixer,WPMixer,H10,24.130795295133154,182.1514227078401,248.49758668140333,0.6458396246377505
frets,FreTS,H3,16.307395485789485,175.70665388928106,238.7568343911772,0.6730635196171225
frets,FreTS,H6,16.280157825912163,166.76391224248957,233.66520633878687,0.6868589118554931
frets,FreTS,H10,17.195629154727452,170.40372779225228,240.7866957307852,0.6674778402833224
